Notice ID,Solicitation ID,Solicitation Title,Description Text,Agency Name,Posted Timestamp,Posted Date,Response Timestamp,Response Deadline,Response Timezone,Opportunity Type,Set Aside Code,NAICS,NAICS Title,PSC,PSC Description,Primary Contact Title,Primary Contact Name,Primary Contact Email,Primary Contact Phone,Primary Contact Fax,Secondary Contact Title,Secondary Contact Name,Secondary Contact Email,Secondary Contact Phone,Secondary Contact Fax,Place of Performance Street Address,Place of Performance Street Address2,Place of Performance City,Place of Performance State,Place of Performance Zip,Place of Performance Country Code,Place of Performance Country,Related Opportunity Id,Award Date,Award Amount,Award Number,Delivery Order Number,Award Justification,Awardee Name,Awardee UEI,Awardee CAGE Code,Awardee Line Item,FPDS Code,FPDS Org ID,SAM Organization Name,Parent Opportunity ID,Modified By,Created By,Modified Timestamp,Created Timestamp,Site Page,Source Website
5d1be0e57a98453fa7ee3d8f749a3b0c,1232SA25Q0482,"High Performance Multispectral Camera - College Station, TX","This is a combined synopsis/solicitation for commercial items prepared in accordance with the procedures contained in FAR Part 12.6, Acquisition of Commercial Items, and FAR Part 13, Simplified Acquisition Procedures, as supplemented with additional information included in this notice. This announcement constitutes the only solicitation; quotes are being requested and a written solicitation will not be issued.

The solicitation number is 1232SA25Q0482 and is issued as a Request for Quotation (RFQ).

The solicitation document and incorporated provisions and clauses are those in effect through Federal Acquisition Circular (FAC) Number 2025-04 dated 06/11/2025.

This solicitation is issued as Small Business Set Aside.  The associated NAICS code is 336411 the small business size standard is 1500 Employees.

List CLINS, item descriptions, quantities and units of measure:

1 Each, High Performance Multispectral Camera

Description/Statement of Work/Specification: See Attached Specifications

Date(s) and place(s) of delivery and acceptance:

30 Days ARO

Delivery Address:

USDA ARS

2881 F&amp;B Road

College Station, TX 77845

This requirement shall be FOB Destination.

FAR Provision 52.212-1, Instructions to Offerors-Commercial, is incorporated by reference and applies to this acquisition. Please see the attached RFQ terms and conditions for the submission requirements and its addendum.

Evaluation:

For the evaluation criteria, please see the attached RFQ terms and conditions.

Quoters are required to complete in full FAR Provision 52.212-3, Offeror Representations and Certifications-Commercial Items (DEVIATION), with their quote online at SAM: www.sam.gov.  An quoter must state in their quote if they completed FAR 52.212-3 online and that is it up-to-date and valid. See the attached RFQ terms and conditions for more requirements.

System updates may lag policy updates. The System for Award Management (SAM) may continue to require entities to complete representations based on provisions that are not included in agency solicitations, including 52.223-22, Public Disclosure of Greenhouse Gas Emissions and Reduction Goals&mdash;Representation, and paragraph (t) of 52.212-3, Offeror Representations and Certifications&mdash;Commercial Products and Commercial Services. Agencies will not consider or use these representations. Entities are not required to, nor are they able to, update their entity registration to remove these representations in SAM

FAR Clause 52.212-4, Contract Terms and Conditions-Commercial Items, applies to this acquisition. Please see the attached RFQ terms and conditions for its Addendum.

FAR Clause 52.212-5, Contract Terms and Conditions Required to Implement Statutes or Executive Orders-Commercial Items (DEVIATION), is incorporated and applies to this acquisition. Please see the attached RFQ terms and conditions that are applicable to the acquisition.

There are no additional contract requirement(s) or terms and conditions (such as contract financing arrangements or warranty requirements) determined by the contracting officer to be necessary for this acquisition and consistent with customary commercial practices.

The Defense Priorities and Allocations System (DPAS) and assigned ratings are not applicable to this solicitation.

Date, time and place quotes are due.

Quotes are due by 07/29/2025 at 5:00pm CST/

Submit quotes to the following e-mail address(es), by the quote due date and time:

Jennifer.busbea@usda.gov

Late quotes after the established deadline may be considered only if it is in the government&rsquo;s best interest and if it will not unduly delay award.

Any and all questions regarding this solicitation shall be submitted in writing to Jennifer Busbea at jennifer.busbea@usda.gov no later than 07/28/2025 at 12:00pm CST.
",Agricultural Research Service,2025-07-24 19:40:17.904000+00:00,2025-07-24,2025-07-29 22:00:00+00:00,2025-07-29,America/Chicago,Synopsis Solicitation,SBA,336411,Aircraft Manufacturing ,1550,Drones,,Jennifer Busbea,jennifer.busbea@usda.gov,9708513746,,,,,,,,,College Station,TX,77845,USA,UNITED STATES,,,,,,,,,,,12H2,1232SA,USDA ARS AFM APD,3185efbcdfc245699fb306b46f5ed918,jennifer.busbea@usda.gov,jennifer.busbea@usda.gov,2025-07-24 19:40:17.910000+00:00,2025-07-24 19:38:44.140000+00:00,https://www.highergov.com/contract-opportunity/1232SA25Q0482-Combined_Synopsis_Solicitation-ed918,https://sam.gov/opp/5d1be0e57a98453fa7ee3d8f749a3b0c/view
dc33cb457cb846869f52fa572010b6d3,1232SA25Q0234,"RFQ 1232SA25Q0234 - Agricultural UAS Aircraft for USDA-ARS at Edinburg, TX","i.    This is a combined synopsis/solicitation for commercial items prepared in accordance with the procedures contained in FAR Part 12.6, Acquisition of Commercial Items, and FAR Part 13, Simplified Acquisition Procedures, as supplemented with additional information included in this notice. This announcement constitutes the only solicitation; quotes are being requested and a written solicitation will not be issued.

ii.    The solicitation number is 1232SA25Q0234 and is issued as a Request for Quotation (RFQ). 

iii.    The solicitation document and incorporated provisions and clauses are those in effect through Federal Acquisition Circular (FAC) Number 2025-04 dated 06/11/2025. 

iv.    This solicitation is issued as a total small business set aside. The associated NAICS code is 336411, the small business size standard is 1500.

v.    List CLINS, item descriptions, quantities and units of measure:
1 EA, Drone and Training per attached Specifications. 

vi.    Description/Statement of Work/Specification:
See attached Specifications for details.

vii.    Date(s) and place(s) of delivery and acceptance:
See attached Specifications for details.

This requirement shall be FOB Destination.

viii.    FAR Provision 52.212-1, Instructions to Offerors-Commercial, is incorporated by reference and applies to this acquisition. Please see the attached RFQ terms and conditions for the submission requirements and its addendum.

ix.    Evaluation:
For the evaluation criteria, please see the attached RFQ terms and conditions.

x.    Quoters are required to complete in full FAR Provision 52.212-3, Offeror Representations and Certifications-Commercial Items (DEVIATION), with their quote online at SAM: www.sam.gov.  A quoter must state in their quote if they completed FAR 52.212-3 online and that is it up-to-date and valid. See the attached RFQ terms and conditions for more requirements.

System updates may lag policy updates. The System for Award Management (SAM) may continue to require entities to complete representations based on provisions that are not included in agency solicitations, including 52.223-22, Public Disclosure of Greenhouse Gas Emissions and Reduction Goals&mdash;Representation, and paragraph (t) of 52.212-3, Offeror Representations and Certifications&mdash;Commercial Products and Commercial Services. Agencies will not consider or use these representations. Entities are not required to, nor are they able to, update their entity registration to remove these representations in SAM

xi.    FAR Clause 52.212-4, Contract Terms and Conditions-Commercial Items, applies to this acquisition. Please see the attached RFQ terms and conditions for its Addendum.

xii.    FAR Clause 52.212-5, Contract Terms and Conditions Required to Implement Statutes or Executive Orders-Commercial Items (DEVIATION), is incorporated and applies to this acquisition. Please see the attached RFQ terms and conditions that are applicable to the acquisition.

xiii.    There are no additional contract requirement(s) or terms and conditions (such as contract financing arrangements or warranty requirements) determined by the contracting officer to be necessary for this acquisition and consistent with customary commercial practices.

xiv.    The Defense Priorities and Allocations System (DPAS) and assigned ratings are not applicable to this solicitation.

xv.    Date, time and place quotes are due.

Quotes are due by 5PM Pacific Time, 07/31/2025.

Submit quotes to the following e-mail address(es), by the quote due date and time:

Michael.hassett@usda.gov

Late quotes after the established deadline may be considered only if it is in the government&rsquo;s best interest and if it will not unduly delay award.

xvi.    Any and all questions regarding this solicitation shall be submitted in writing to the listed point of contact no later than 07/25/2025.
 
",Agricultural Research Service,2025-07-18 14:08:52.891000+00:00,2025-07-18,2025-08-01 00:00:00+00:00,2025-07-31,America/Los_Angeles,Synopsis Solicitation,SBA,336411,Aircraft Manufacturing ,1550,Drones,,Michael Hassett,michael.hassett@usda.gov,,,,,,,,,,Edinburg,TX,78541,USA,UNITED STATES,,,,,,,,,,,12H2,1232SA,USDA ARS AFM APD,dc33cb457cb846869f52fa572010b6d3,michael.hassett@usda.gov,michael.hassett@usda.gov,2025-07-18 14:08:52.895000+00:00,2025-07-18 14:05:04.683000+00:00,https://www.highergov.com/contract-opportunity/1232SA25Q0234-Combined_Synopsis_Solicitation-0b6d3,https://sam.gov/opp/dc33cb457cb846869f52fa572010b6d3/view
633dff1bdc714472b9789aaa0e8a4627,SS1155104,Notice of Intent to Sole Source Specialized OH6 Maintenance in Guam,"The U.S. Department of Agriculture (USDA) Animal and Plant Health Inspection Service (APHIS) intends to issue a noncompetitive contract to Mac-V Aviation, Inc., 7200 Highway 234, Central Point, Oregon 97502, (UEI: D896VGUSLFT4). The indefinite delivery, indefinite quantity (IDIQ) contract is for the inspection, maintenance, and repair of a specially modified OH-6 helicopter. See attached justification for limited source under simplified procedures (FAR 13.106-1(b)(1)).

The Government contemplates the award of a firm fixed-price, IDIQ contract. This notice of intent is not a request for competitive quotations. However, all responsible sources may submit a response which shall be considered by the agency. Responses must be received no later than 10:00am CST on July 24th, 2025. Information received will be considered solely for the purpose of determining whether to conduct a competitive procurement. Respondents should ensure the information provided is detailed, current, accurate, and complete. A determination by the Government not to compete this proposed contract is solely within the discretion of the Government. The North American Industry Classification Code (NAICS) is 488190 with a small business size standard of $40M.   
",Marketing and Regulatory Programs Business Services,2025-07-10 05:15:02.200000+00:00,2025-07-10,2025-07-24 15:00:00+00:00,2025-07-24,America/Chicago,Special Notice,SBA,488190,Other Support Activities for Air Transportation,J015,"Maintenance, Repair and Rebuilding of Equipment: Aircraft and Airframe Structural Components",,Amanda Barbosa,amanda.barbosa@usda.gov,6123363433,,,,,,,,,Barrigada,GU,,USA,UNITED STATES,,,,,,,,,,,12K3,6395,USDA  APHIS  MRPBS,633dff1bdc714472b9789aaa0e8a4627,amanda.barbosa@usda.gov,amanda.barbosa@usda.gov,2025-08-09 03:55:47.658000+00:00,2025-07-10 05:06:08.279000+00:00,https://www.highergov.com/contract-opportunity/SS1155104-Special_Notice-a4627,https://sam.gov/opp/633dff1bdc714472b9789aaa0e8a4627/view
2edab6c377194ca5b4ead2356ccdb6d4,1202SC25Q2716,"HELICOPTER CARGO LEADLINES, 3,000 LB CAPACITY","Notice ID 1202SC25Q2716 



HELICOPTER CARGO LEADLINES, 3,000 LB CAPACITY

The U.S. Forest Service, Washington Office of Procurement and Property Services (PPS), Incident Procurement Operations, will be soliciting quotes for the purchase of 982 each HELICOPTER CARGO LEADLINES &ndash; 12 FT, 3,000 LB CAPACITY, cataloged in the National Fire Equipment System as item NFES 0528.  First article testing will be required but will be waived if testing has been passed within the last 3 (three) years and there have been no negative issues during field use. 



Leadlines must meet the standards of Forest Service, United States Department of Agriculture Specification 5100-503a.  



The Government anticipates awarding a single Firm-Fixed-Price Purchase Order for the purchase of these items to be delivered to multiple Incident Support Cache locations across the nation by no later than 09/30/2025.  North American Industry Classification System (NAICS) Code is 332510 Hardware Manufacturing, and the Small Business Size Standard is 750 employees.  Product Service Code (PSC) is 1670 - Parachutes; Aerial Pick Up, Delivery, Recovery Systems; and Cargo Tie Down Equipment.



Prospective offerors must be registered in the System for Award Management (www.SAM.gov) and be associated with NAICS 332510 on the registration prior to award. 



This is a Pre-Solicitation Synopsis only.  Quotes are not being requested nor accepted at this time.  Quotes will be requested when the Solicitation is posted in mid to late June 2025.  Questions about this announcement and the future Solicitation may be directed to Theresa Hood at email theresa.hood2@usda.gov.
",Forest Service,2025-07-01 11:03:39.871000+00:00,2025-07-01,2025-06-30 14:00:00+00:00,2025-06-30,America/New_York,Presolicitation,SBA,332510,Hardware Manufacturing,1670,"Parachutes; Aerial Pick Up, Delivery, Recovery Systems; Cargo Tie Down Equipment",,THERESA HOOD,theresa.hood2@usda.gov,,,,,,,,,,,,,USA,UNITED STATES,,,,,,,,,,,12C2,1202SC,"USDA-FS, INCIDENT PROCUREMENT LOGISTICS",6de3f7f370be4f74989cc51d299a3258,theresa.hood2@usda.gov,theresa.hood2@usda.gov,2025-07-01 11:03:39.871000+00:00,2025-07-01 11:03:39.871000+00:00,https://www.highergov.com/contract-opportunity/1202SC25Q2716-Presolicitation-a3258,https://sam.gov/opp/2edab6c377194ca5b4ead2356ccdb6d4/view
a4e69b932b0e46bebe1b3abc4428d9d0,FA850425DB003,C-130J Electronic Modular Aerial Spray System,"Line Item Number:

0001 Interim Contractor Support

0002 Long Lead Parts

0005 Travel

0006 Data

0009 Program Management Support

0011 Non-Recurring Engineering

Description :

The requirement is for the production and related support of 4 full palletized roll-on/roll-off Electronic Modular Aerial Spray System (EMASS) units, and one retrofit kit, as well as testing/certification of the replacement EMASS on a C-130J equipped to interface with the EMASS. The EMASS system will maintain the same physical characteristics and interface with the aircraft the same as the legacy MASS. Additionally, EMASS will interface with the Next Generation Agricultural-Global Positioning System (AG-GPS). When combined with the existing on-aircraft hardware, the EMASS production kits will allow the Government to install a fully operational EMASS unit on the C-130J aircraft.

Due to their only being one vendor who has the corporate knowledge of the system being required to perform the contract at a reasonable cost, and on the necessary schedule, authority to acquire the supplies and services using Other Than Full and Open Competition as prescribed by FAR 6.302-1, Only One Responsible Source and No Other Supplies or Services Will Satisfy Agency Requirements, was granted. This action will be a five-year Indefinite Delivery Indefinite Quantity (IDIQ) &quot;D&quot; contract with two, two-year ordering periods and one, one-year ordering period for the production and support of Electronic Modular Aerial Spray System (EMASS). The contract is utilizing Cost Plus Fixed Fee (CPFF) and Cost Reimbursement No Fee (CRNF) pricing arrangements. The period of performance is 12 March 2025 through 11 March 2030.
",AFLCMC Robins AFB,2025-03-13 02:31:47.906000+00:00,2025-03-13,,,,Award Notice,,336413,Other Aircraft Parts and Auxiliary Equipment Manufacturing ,1680,Miscellaneous Aircraft Accessories and Components,,Lauren Mitchell,lauren.mitchell.5@us.af.mil,,,,,,,,,,,OH,44473,USA,UNITED STATES,,2025-03-12,98438453.0,FA850425DB003,FA850425FB009,,BATTELLE MEMORIAL INSTITUTE,F125YU6SWK59,79986,,5700,FA8504,FA8504  AFLCMC WLNKA,a4e69b932b0e46bebe1b3abc4428d9d0,jaimie.roth@us.af.mil,jaimie.roth@us.af.mil,2025-04-15 04:00:08.739000+00:00,2025-03-13 02:22:08.186000+00:00,https://www.highergov.com/contract-opportunity/FA850425DB003-Award_Notice-BATTELLE_MEMORIAL_INSTITUTE-8d9d0,https://sam.gov/opp/a4e69b932b0e46bebe1b3abc4428d9d0/view
188c086f7ef34af997b3ff1d2f06e0a8,W912DQSN3002,Notice of Intent: Sole Source USDA Former Grain Silo Storage Facility Groundwater Contamination Site,"This notice is for informational purposes only.

Under the authority of FAR 6.302-1, the U.S. Army Corps of Engineers (USACE), Kansas City District, intends to issue a contract action on a sole-source basis to Hydrogeologic Inc. (UEI: S7Q4GKNGGA81). This sole-source action will acquire Architect-Engineering (A-E) services from the Designer of Record (DOR) in support of the Commodity Credit Corporation (CCC)/U.S. Department of Agriculture (USDA) Former Grain Silo Storage Facility Groundwater Contamination Site, located in York, Nebraska.

Hydrogeologic (HGL) is the Designer of Record for the original design of the treatment facility at the contamination site. This contract will be used to revise the design of the pump system to bring it into compliance with and to incorporate any changes or requirements identified since the original design completion. Engineering During Construction (EDC) phase services will also be acquired under this contract.  The work performed under the intended contract action represents a continuation of the services originally provided by HGL, ensuring consistent application of the DOR&rsquo;s design intent and maintaining DOR responsibility throughout the construction phase.

Previously, HGL preformed the full design effort for the treatment facility at the CCC/USDA Former Grain Silo Storage Facility Groundwater Contamination Site under contract 2H-60011 for Argonne National Lab under Prime Contract Number DE-AC02-06CH11357. However, that contract has expired and cannot be extended. This follow-on contract is necessary to provide A-E services, including but not limited to:




	Providing design clarifications and modifications
	Conducting site visits and inspections
	Ensuring compliance with Biddability, Constructability, Operability, Environmental, and Sustainability (BCOES) standards
	EDC phase services
	Reviewing construction submittals and RFIs




Because HGL possesses extensive project-specific knowledge, experience, and expertise, awarding this contract to another firm would introduce significant risks, including:


	Increased costs due to revalidation of design and calculations
	Potential project delays while a new firm familiarizes itself with the existing design
	Loss of design continuity and technical inconsistencies
	As a result, HGL is the only firm capable of performing these services without unacceptable duplication of effort, cost, or delay.




This Notice of Intent is published in accordance with FAR 5.201. All responses received within 15 calendar days of this posting will be considered by the Government. A determination by the Government not to compete this proposed contract based on responses to this notice is solely at the Government&rsquo;s discretion.

Information received will be considered solely for the purpose of determining whether to conduct a competitive procurement.

This is not a solicitation for competitive proposals. Responses to this notice should be directed via email to Chris Lewis, at christopher.d.lewis3@usace.army.mil and Justin K. Bennett, at justin.k.bennett@usace.army.mil no later than 10:00 am (Central Time), on 14 March 2025

Please include &ldquo;Response to NOI for CCC/USDA Former Grain Silo Storage Facility Groundwater Contamination Site&rdquo; in the subject line of the email.


",USACE Kansas City District,2025-02-27 19:55:44.305000+00:00,2025-02-27,2025-03-14 15:00:00+00:00,2025-03-14,America/Chicago,Special Notice,,541330,Engineering Services,C219,Other Architect and Engineering Services,,Christopher D. Lewis,christopher.d.lewis2@usace.army.mil,8163893824,,,Justin BENNETT,justin.k.bennett@usace.army.mil,8163893213,,,,York,NE,,USA,UNITED STATES,,,,,,,,,,,2100,W912DQ,W071 ENDIST KANSAS CITY,188c086f7ef34af997b3ff1d2f06e0a8,michael.s.dolly@usace.army.mil,christopher.d.lewis3@usace.army.mil,2025-03-29 04:04:34.394000+00:00,2025-02-25 20:10:06.314000+00:00,https://www.highergov.com/contract-opportunity/W912DQSN3002-Special_Notice-6e0a8,https://sam.gov/opp/188c086f7ef34af997b3ff1d2f06e0a8/view
226bb40d0fc6406c8d1201c19216b18c,12024B24Q7002,VIPR I-BPA for Helicopter Operations Support Unit for Region 13 - National,"Re-open Solicitation. Vendor responses to the solicitation are due 03/02/2025 18:00 PST. Please access the 'Open Solicitations' tab in the VIPR Vendor application (https://apps.fs.usda.gov/vipr/vendor/) to start your response.

The Department of Agriculture (USDA), US Forest Service (USFS), National Zone requirement for Helicopter Operations Support Unit for Region 13 for use during Local, Regional, and nationwide fire suppression and all-hazard incidents was originally solicited under solicitation number 12024B24Q7002.

This amendment is to re-open this solicitation to conduct an open season Onboarding in accordance with Exhibit H - Special Contract Requirements of the original solicitation.

IMPORTANT NOTE: Onboarding is not a new procurement and operates differently than a new solicitation. Onboarding is a result of the provisions established in the original solicitation and is issued as a solicitation amendment to the original solicitation. The terms and conditions of the original solicitation require that 'The award decision under the open season solicitation is based upon the same evaluation factors/sub-factors as the original solicitation.' Additionally, the terms and conditions of the original solicitation require that, 'The terms and conditions of any resulting new IBPA awards are identical to the original awards and solicitation, to include period of performance.' Accordingly, while the Government will entertain suggestions and Industry input regarding the Onboarding amendment, the Government anticipates very little change to result from this input, especially as it regards any potential changes to the evaluation factors or resulting terms and conditions.

This amendment for Onboarding is against a Multiple Award Incident Blanket Purchase Agreement (IBPA) solicitation issued as a 100% Small Business Set-Aside.

The open season Onboarding period will coincide with the USFS Contracting Officer (CO) IBPA Annual Review process, traditionally referred to as a 'Rollover' Modification process for existing IBPA awardees. Existing IBPA awardees will have the same opportunity to revise, modify rates, and add resources the same as potential new contractors do.

All proposed resources are subject to the original solicitation criteria. New Offerors that meet the eligibility requirements set forth in the original solicitation may submit a quote response through the VIPR system during open season. Award decisions from an open season solicitation response are based upon the same evaluation factors/sub-factors as the original solicitation. New quote responses must meet all Acceptability Pass/Fail Criteria of the original solicitation. The terms and conditions of any resulting new IBPA awards are identical to the original awards and solicitation, to include period of performance. Immediately after Onboarding and at the conclusion of the CO annual review/rollover modification period, any additional Contractors or accepted new resources to existing agreements are eligible to receive dispatches/BPA Calls with the same ordering procedures as listed within the agreements.",National Interagency Fire Center,2025-01-27 22:13:11.267000+00:00,2025-01-27,2025-03-03 02:00:00+00:00,2025-03-02,America/Los_Angeles,Solicitation,SBA,488190,Other Support Activities for Air Transportation,F003,Forest/Range Fire Suppression/Presuppression Services,,Cristina Heaney,cristina.heaney@usda.gov,4065993199,,,,,,,,,,,,,,,,,,,,,,,,12C2,024B,USDA FOREST SERVICE,dc0ea0cec39c45e9acf790532e6ba929,cristina.heaney@usda.gov,cristina.heaney@usda.gov,2025-01-27 22:13:11.267000+00:00,2025-01-27 22:13:09.844000+00:00,https://www.highergov.com/contract-opportunity/12024B24Q7002-Solicitation-ba929,https://sam.gov/opp/226bb40d0fc6406c8d1201c19216b18c/view
8545c8a24a494f5fbfd408c109b16ffa,FA850425EMASS,Electronic Modular Aerial Spray System (EMASS),"The requirement is for the production and related support of 4 full palletized roll-on/roll-off Electronic Modular Aerial Spray System (EMASS) units, and one retrofit kit, as well as testing/certification of the replacement EMASS on a C-130J equipped to interface with the EMASS. The EMASS system will maintain the same physical characteristics and interface with the aircraft the same as the legacy MASS. Additionally, EMASS will interface with the Next Generation Agricultural-Global Positioning System (AG-GPS). When combined with the existing on-aircraft hardware, the EMASS production kits will allow the Government to install a fully operational EMASS unit on the C-130J aircraft.

CLIN Structure: Please see attached pdf titled &quot;EMASS CLIN structure IDIQ.&quot;




",AFLCMC Robins AFB,2024-12-31 16:26:05.168000+00:00,2024-12-31,2025-01-16 04:59:00+00:00,2025-01-15,America/New_York,Presolicitation,,541330,Engineering Services,R425,Engineering and Technical Services,,Megan Salter,megan.salter@us.af.mil,,,,,,,,,,,OH,44473,USA,UNITED STATES,,,,,,,,,,,5700,FA8504,FA8504  AFLCMC WLNKA,8545c8a24a494f5fbfd408c109b16ffa,megan.salter@us.af.mil,megan.salter@us.af.mil,2025-01-31 04:55:43.526000+00:00,2024-12-31 16:07:45.310000+00:00,https://www.highergov.com/contract-opportunity/FA850425EMASS-Presolicitation-16ffa,https://sam.gov/opp/8545c8a24a494f5fbfd408c109b16ffa/view
21cabb7a82a74753b66f19a9402f44d0,12639525Q0037,"Helicopter Maintenance for Aircraft Operating in Tennessee, Kentucky, and Missouri","The United States Department of Agriculture (USDA), Animal Plant Health Inspection Service (APHIS), Wildlife Services (WS) program is seeking to establish a contract for helicopter inspection, maintenance and repair services for their Bell 206 and Hughes/MD369 series aircraft operating throughout Tennessee, Kentucky, and Missouri. This solicitation will result in a firm fixed price indefinite delivery indefinite quantity commercial services contract. The anticipated effective date of the contract is January 15, 2025. The contract will consist of five ordering periods, with each ordering period being twelve (12) months in duration. This will be a total small business set-aside under NAICS code 488190 (size standard $40M). 

It is the responsibility of interested parties to monitor this site for amendments, if any. Questions concerning this synopsis should be directed to Amanda Barbosa, Contracting Officer, by email at Amanda.Barbosa@usda.gov
",Marketing and Regulatory Programs Business Services,2024-12-12 03:41:05.767000+00:00,2024-12-12,2024-12-27 04:00:00+00:00,2024-12-26,America/Chicago,Solicitation,SBA,488190,Other Support Activities for Air Transportation,J015,"Maintenance, Repair and Rebuilding of Equipment: Aircraft and Airframe Structural Components",,Amanda Barbosa,amanda.barbosa@usda.gov,6123363433,,,,,,,,,Paducah,KY,,USA,UNITED STATES,b458ec1ab0754d6faebc13667bea3a88,,,,,,,,,,12K3,6395,USDA  APHIS  MRPBS,21cabb7a82a74753b66f19a9402f44d0,amanda.barbosa@usda.gov,amanda.barbosa@usda.gov,2025-01-11 04:55:47.942000+00:00,2024-12-12 03:27:02.930000+00:00,https://www.highergov.com/contract-opportunity/12639525Q0037-Solicitation-f44d0,https://sam.gov/opp/21cabb7a82a74753b66f19a9402f44d0/view
02c536e058b84fffa3f4a83151da4409,140P4525Q0003,"Road Salt, Delaware Water Gap NRA",Supply/Deliver Sodium Chloride treated with Organic Beet Juice Concentrate,NPS Pacific West Region,2024-12-10 19:17:37.625000+00:00,2024-12-10,2025-01-03 18:00:00+00:00,2025-01-03,America/New_York,Solicitation,SBA,332510,Hardware Manufacturing,9620,"Minerals, Natural and Synthetic",,"Beatty, Michael",michael_beatty@nps.gov,3608547219,5733234288,,,,,,,,,,,,,,,,,,,,,,,1443,83000,PWR OLYM MABO(83000),02c536e058b84fffa3f4a83151da4409,fbms_acq@ios.doi.gov,fbms_acq@ios.doi.gov,2025-01-18 05:04:29.831000+00:00,2024-12-10 19:17:32.365000+00:00,https://www.highergov.com/contract-opportunity/140P4525Q0003-Solicitation-a4409,https://sam.gov/opp/02c536e058b84fffa3f4a83151da4409/view
