Notice ID,Solicitation ID,Solicitation Title,Description Text,Agency Name,Posted Timestamp,Posted Date,Response Timestamp,Response Deadline,Response Timezone,Opportunity Type,Set Aside Code,NAICS,NAICS Title,PSC,PSC Description,Primary Contact Title,Primary Contact Name,Primary Contact Email,Primary Contact Phone,Primary Contact Fax,Secondary Contact Title,Secondary Contact Name,Secondary Contact Email,Secondary Contact Phone,Secondary Contact Fax,Place of Performance Street Address,Place of Performance Street Address2,Place of Performance City,Place of Performance State,Place of Performance Zip,Place of Performance Country Code,Place of Performance Country,Related Opportunity Id,Award Date,Award Amount,Award Number,Delivery Order Number,Award Justification,Awardee Name,Awardee UEI,Awardee CAGE Code,Awardee Line Item,FPDS Code,FPDS Org ID,SAM Organization Name,Parent Opportunity ID,Modified By,Created By,Modified Timestamp,Created Timestamp,Site Page,Source Website
01abe6d4c1ce4efe93e09f1e9fa48705,A052544,Avionics Upgrade for C208 Program,"This Request for Information (RFI) is issued solely for information and planning purposes. In accordance with Part 10 of the Federal Acquisition Regulation, the U.S. Government (USG) is conducting market research. The response time has been edited to 5:00 PM August 19th Eastern Daylight Time. The intended purpose is to identify potential sources that may possess the capability to provide for the Air Force&rsquo;s full requirement. It does not constitute a Request for Proposal (RFP) or a promise to issue an RFP in the future. Further, the Air Force is not seeking proposals and will not accept unsolicited proposals at this time. Responders are advised that the USG will not pay for any information or administrative costs incurred in response to this RFI. In accordance with Federal Acquisition Regulation 15.201(e), responses to this notice are not offers and cannot be accepted by the USG to form a binding contract.  



Objective: The Department of the Air Force, Air Force Life Cycle Management Center (AFLCMC), Mobility Aircraft, International Programs Division, Wright Patterson Air Force Base, OH, intends to award a single award, Firm-Fixed Price (FFP) and Cost Plus Fixed-Fee contract. The potential purchase will consist of the procurement, integration, and installation of five (5) EO/IR Turret Systems, five (5) Multiple Processing Units (MPU), five (5) Video Switch Matrix Units, and five (5) Flip Up Display Monitors onto five (5) customer owned Cessna AC-208B Combat Caravan light-attack, intelligence, surveillance, target acquisition, and reconnaissance (ISTAR) aircraft, along with informal on-the-job familiarization training.  

  

Written responses to this request shall contain sufficient documentation to establish a bona fide capability to fulfill this requirement. The intent of this notice is not a request for competitive proposals. Responses to this RFI are due no later than 5:00 pm, EDT. Tuesday, 19 August 2025 and should be sent to michael.benincasa@us.af.mil. Information received as a result of this notice will be considered solely for the purpose of determining the appropriate acquisition decision for the procurement. This notice does not constitute a solicitation for offers. This is NOT a RFP, and respondents are solely responsible for all expenses associated with responding to this RFI. The USG shall not pay for information received. 



If, after reviewing the requirements document, you desire to participate in the market research, you should provide documentation that supports your company&rsquo;s capability and costs associated in meeting these requirements. Failure to provide documentation and costs may result in the government being unable to adequately assess your capabilities. 



Included in your response, please provide at a minimum the following business information for your company/institution and for any teaming or joint venture partners: 


	
	Company/Institute Name: 
	



	
	Address: 
	



	
	Point of Contact: 
	



	
	CAGE Code: 
	



	
	Phone Number: 
	



	
	E-mail Address: 
	



	
	Web Page URL: 
	




Respondents should identify themselves as a small business and/or any other socioeconomic designations such as Veteran Owned Small Business (VOSB), Service-Disabled Veteran Owned Small Business (SDVOSB), Woman Owned Small Business (WOSB), Historically Underutilized Business Zone (HUBZone) or 8(a) business. RFI issuance does not restrict the USG&rsquo;s ultimate acquisition approach. The USG will neither award a contract solely based on this notice, nor pay for any information that is submitted by respondents to this RFI. 



FMS Aircraft Program Request for Information (RFI):  



Information obtained from industry&rsquo;s response to this notice may be used in the development of an acquisition strategy and future RFP. The program&rsquo;s Period of Performance (POP) should not exceed 28 months &ndash; 32 months after contract award. 



Requirements for Commercial Aircraft and Support Items: 




	
	Background 
	



	
	A Partner Nation (PN) previously procured five (5) AC-208 Cessna Caravans through U.S. Foreign Military Sales. The AC-208&rsquo;s were procured to provide the partner with a single, organic asset that can find, fix, and finish enemy combatants in one package. The aircraft has similar capabilities to the MQ-9 in terms of finding targets with a high-fidelity targeting pod, launching hellfire missiles at targets, and having an extended loiter time to remain on station. Current operations have shifted away from overt signatures and buildings to personnel hiding in obscure environments.  
	



	
	Upon completion of the upgrade, the PN desires the capability to gain Positive Identification (PID) of individual people with fidelity beyond 1.5 kilometers (km). Current capabilities require the aircrew to &ldquo;burn&rdquo; the target by flying directly overhead. After flying overhead to gain PID (inside the AGM-114 Hellfire minimum launch range), the aircraft must execute a turn away from the target to build enough range for an attack run-in within the hellfire weapons employment zone, at which point the target is no longer visible. This was verified by a senior U.S. pilot (with over 2,000 hours of experience as an evaluator/instructor in fighter and Intelligence Surveillance Reconnaissance (ISR) aircraft) flying onboard the AC-208. Recent missions highlight the PN&rsquo;s desire to use the AC-208 as their primary strike platform, but it is only successfully utilized on targets that can be acquired beyond three nautical miles (e.g. 04APR25 VBIED strike). 
	







	
	Details of the Request 
	



	
	The PN requests procurement, integration and installation of the following components onto each of their five (5) AC-208 Combat Caravan light-attack, intelligence, surveillance, target acquisition, and reconnaissance (ISTAR) aircraft: 
	



	
	Electro-Optical/Infrared (EO/IR) airborne surveillance and reconnaissance turret  
	



	
	Multiple Processing Units (MPU) 
	



	
	Video Switch Matrix Units 
	



	
	7&rdquo; Flip Up Display Monitors 
	



	
	Technical Manuals Updates 
	



	
	Familiarization/Differences Training on Component Upgrades:  
	



	
	2-week training program for 10 individuals, focused on new features and functionalities by the hardware upgrades. The underlying software and system functionality will remain unchanged.  
	



	
	Operational Framework 
	



	
	An assessment of current fleet configuration.     
	



	
	An airworthiness Type Certificate from the Federal Aviation Administration (FAA) for the equipment being installed. The approval from the FAA is required prior to the installation.  
	



	
	Installation and integration of components onto the aircraft must be performed at the customer&rsquo;s Main Operating Base (MOB) in an austere location. 
	



	
	Customer requires that 80% of the operational fleet (4/5 aircraft) must always be available for operations, so installation must be done sequentially 
	


Destination Information:  



Point of Debarkation will be shared later if the customer moves forward with the requirement



Contracting Office Address: 



2240 B Street, Bldg. 11, Room B01, WPAFB, Ohio 45433 



Places of Performance: 



Will be shared later if the customer moves forward with requirement.



Questions may or may not be answered in response to this posting.



Primary Point of Contact: 



Contracting Officer, Michael Benincasa, michael.benincasa@us.af.mil  
",AFLCMC Wright Patterson AFB,2025-08-11 11:40:35.055000+00:00,2025-08-11,2025-08-19 21:00:00+00:00,2025-08-19,America/New_York,Sources Sought,,334511,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing ",,,,Michael Benincasa,michael.benincasa@us.af.mil,,,,,,,,,,Wright Patterson AFB,OH,,USA,UNITED STATES,,,,,,,,,,,5700,FA8625,FA8625  AFLCMC WLNK C130,c4dc41ff95714ddab339cea1e6ad8612,michael.benincasa@us.af.mil,michael.benincasa@us.af.mil,2025-08-11 11:40:35.061000+00:00,2025-08-11 11:38:03.244000+00:00,https://www.highergov.com/contract-opportunity/A052544-Sources_Sought-d8612,https://sam.gov/opp/01abe6d4c1ce4efe93e09f1e9fa48705/view
536e3b78664c4857b1262cfa2790a746,PANRSA-25-P-IDIQFMS,"Sources Sought of the increasing IDIQ Ceiling for Aircraft Models B200,B300, C208B and C408","This is a notification that the Army Contracting Command, Redstone Arsenal, AL, intends to increase the contract ceiling from $99,707,037 to $809,514,114 on existing contract W58RGZ-23-D-0032 with Textron Aviation, Inc (Textron), CAGE 7EK50, One Cessna Boulevard, Wichita, Kansas 67215. An increase to the contract ceiling is necessary to provide critical, uninterrupted specific requirements and services, to include published/non-published options, OEM kits, aircraft spares, program management, publications, training, and airworthiness packages, in support of the Foreign Military Sales (FMS) program and the Fixed Wing Project Office (FWPO) Program Executive Office (PEO) Aviation. As stated in the ACC-RSA original Justification and Approval (J&amp;A) for Other than Full and Open Competition dated 8 June, 2022, Textron is the only contractor that possesses the unique knowledge, skill, experience, technical data, manufacturing, and test facilities to provide the support services and incidental materials required to update, maintain, and sustain the King Air B200 series, King Air B300 series, Cessna C-208B, and Cessna C-408 aircraft.

This Sources Sought serves as the Government&#39;s notice as required by DFARS PGI 206.302-1(d) and the notice of proposed contract action as required by FAR 5.201. This action will result in an increase in contract ceiling to the existing contract identified above which is necessary to allow for continuity of critical contractor services. Any information received as a result of this notice will be considered solely for enhancing competition in a future competitive procurement. All responses must be received via email no later than 14 July 2025, 8:00 a.m. Central Time and should be submitted to Contract Specialist, Lan Nguyen; at bich-lan.t.nguyen.civ@army.mil, or Contracting Officer, James Pattullo; at james.h.pattullo.civ@army.mil. No telephone inquiries will be accepted. 

This Sources Sought is for source planning purposes only and shall not be considered as an invitation for bid, request for quotation, request for proposal, abstracts, or as an obligation on the part of the Government to acquire any products or services. Your response to this notice will be treated as information only. No entitlement to pay, direct or indirect costs, or charges by the Government will arise, as a result of a contractor&#39;s submission or response(s) to this announcement or the Government&#39;s use of such information. This request does not constitute a solicitation for future proposals or the authority to enter into negotiations to award a contract. 

Electronic transmissions must not exceed 5 megabytes and responses in the form of white papers should be limited to 5 pages in length and may include technical specifications and product sheets as deemed necessary. All material submitted in response to this RFI must be unclassified. 

Contracting Office Address: ACC-RSA (Aviation) ATTN: CCAM-ARA, Building 5308 Martin Road, Redstone Arsenal, AL 35898-5280
",ACC Redstone,2025-06-26 18:34:38.669000+00:00,2025-06-26,2025-07-14 13:00:00+00:00,2025-07-14,America/Chicago,Sources Sought,,336411,Aircraft Manufacturing ,1510,"Aircraft, Fixed Wing",,Lan Nguyen,bich-lan.t.nguyen.civ@army.mil,,,,James Pattullo,james.h.pattullo.civ@army.mil,,,,,Redstone Arsenal,AL,35898,USA,UNITED STATES,,,,,,,,,,,2100,W58RGZ,W6QK ACC-RSA,536e3b78664c4857b1262cfa2790a746,james.h.pattullo.civ@army.mil,bich-lan.t.nguyen.civ@army.mil,2025-07-30 03:55:48.718000+00:00,2025-06-23 13:12:05.807000+00:00,https://www.highergov.com/contract-opportunity/PANRSA-25-P-IDIQFMS-Sources_Sought-0a746,https://sam.gov/opp/536e3b78664c4857b1262cfa2790a746/view
f92630c64adf4f5fa5cd05298cf74782,W58RGZ-25-FWPOServices,Fixed Wing Combined Services IDIQ - Request for Information,"THIS IS A REQUEST FOR INFORMATION (RFI) ONLY &ndash; This RFI is issued solely for information and planning purposes &ndash; it does not constitute a Request for Proposal (RFP) or a promise to issue an RFP in the future. Solicitations will not be accepted at this time. Unsolicited proposals will not receive a response. This notice does not constitute a commitment by the United States Government to contract for any supply or service whatsoever. All information submitted in response to this announcement is voluntary; the United States Government will not pay for information requested nor will it compensate any respondent for any cost incurred in developing information provided to the United States Government. Not responding to this RFI does not preclude participation in any future RFP, if any is issued. Respondents shall not be obligated to provide the services described herein. If a solicitation is released, it will be synopsized on https://sam.gov/. It is the responsibility of the potential offerors to monitor this site for additional information pertaining to this requirement.

Please see the attached RFI for additional information.
",ACC Redstone,2025-06-25 21:43:44.318000+00:00,2025-06-25,2025-07-18 13:00:00+00:00,2025-07-18,America/Chicago,Sources Sought,,336411,Aircraft Manufacturing ,1510,"Aircraft, Fixed Wing",,James Pattullo,james.h.pattullo.civ@army.mil,,,,,,,,,,Huntsville,AL,35808,USA,UNITED STATES,,,,,,,,,,,2100,W58RGZ,W6QK ACC-RSA,37909478946a46e8ba76b3083483bb99,laurel.d.miller2.civ@army.mil,laurel.d.miller2.civ@army.mil,2025-08-02 04:04:39.073000+00:00,2025-06-25 21:42:11.058000+00:00,https://www.highergov.com/contract-opportunity/W58RGZ-25-FWPOServices-Sources_Sought-3bb99,https://sam.gov/opp/f92630c64adf4f5fa5cd05298cf74782/view
ec642aa41a58406c9f9535fd33123940,140D0425Q0415,16--N9178G AMPHIBIOUS FLOAT PARTS/ KIT,"The Acquisition Services Directorate (AQD), Interior Business Center (IBC), intends to award a firm-fixed price contract on a sole source basis to Wipaire Inc 1700 Henry Ave South Saint Paul, Minnesota 55075-3500 for a new Parts Kit for a Cessna 206G, N9178G, Serial number U20603803. Parts Kit is specific to Wipline 3450 amphibious float installation, and their Federal Aviation Administration approved Supplemental Type certificate (STC). This aircraft had the structural alterations per Wipaire STC and the parts kits is required and needed to accommodate the installation of Wipline 3450's (straight or amphibious floats) to support amphibious float operations.Award of this requirement will be in accordance with Federal Acquisition Regulation 13 Simplified Acquisition Procedures. THIS NOTICE OF INTENT IS NOT A REQUEST FOR QUOTES. A determination by the Contracting Officer not to compete this proposed contract based on this notice is solely within the discretion of the Government. If you feel that your firm possesses the ability to provide this supply, you must respond by 12 May 2025, 10:00 a.m. EST. Your responses may be submitted via e-mail to john_fleshman@ibc.doi.gov. ",Interior Business Center,2025-05-01 12:03:44.510000+00:00,2025-05-01,2025-05-12 14:00:00+00:00,2025-05-12,America/New_York,Special Notice,,336413,Other Aircraft Parts and Auxiliary Equipment Manufacturing ,1630,Aircraft Wheel and Brake Systems,,"Fleshman, John",john_fleshman@ibc.doi.gov,5713806797,,,,,,,,,,,,,,,,,,,,,,,,1406,00004,IBC ACQ SVCS DIRECTORATE (00004),ec642aa41a58406c9f9535fd33123940,fbms_acq@ios.doi.gov,fbms_acq@ios.doi.gov,2025-05-14 03:55:57.609000+00:00,2025-05-01 12:03:40.856000+00:00,https://www.highergov.com/contract-opportunity/140D0425Q0415-Special_Notice-23940,https://sam.gov/opp/ec642aa41a58406c9f9535fd33123940/view
cb5cbcaa11b34e438fb189aa46d426ed,140G0325Q0021,logistical support services ,logistical support services ,USGS Office of Acquisitions and Grants,2025-01-22 19:07:26.209000+00:00,2025-01-22,2025-02-01 01:00:00+00:00,2025-01-31,America/Los_Angeles,Solicitation,SBA,488190,Other Support Activities for Air Transportation,R706,Logistics Support Services,,"Huot, Tracy",thuot@usgs.gov,9162789330,,,,,,,,,,,,,,,,,,,,,,,,1434,00003,OFFICE OF ACQUISITON  GRANTS,cb5cbcaa11b34e438fb189aa46d426ed,fbms_acq@ios.doi.gov,fbms_acq@ios.doi.gov,2025-02-08 04:55:44.620000+00:00,2025-01-22 19:06:59.861000+00:00,https://www.highergov.com/contract-opportunity/140G0325Q0021-Solicitation-426ed,https://sam.gov/opp/cb5cbcaa11b34e438fb189aa46d426ed/view
6a5ce2a51a154c929d6ed4c9ef298955,15DDHQ25R00000001,Installation of commercial Air Imaging Systems (AIS),"See amendment 0001 to RFP is attached.along with excel sheet of Q&amp;A responses. 

See amendment 0002 to RFP for Q&amp;As inadvertently not included in Amendment 0001.
",Drug Enforcement Administration,2024-12-10 18:56:25.890000+00:00,2024-12-10,2025-01-09 19:00:00+00:00,2025-01-09,America/New_York,Solicitation,SBA,336411,Aircraft Manufacturing ,N067,Installation of Equipment: Photographic Equipment,,Ryan Burke,Ryan.F.Burke@dea.gov,,,,Robert Radke,robert.j.radke@dea.gov,,,,,Fort Worth,TX,,USA,UNITED STATES,7673cebe8e7948ef848f9582424224cb,,,,,,,,,,1524,DEAAA,AVIATION DIVISION,9a059bcfed0a4c30912b838089abb8c0,ryan.f.burke@usdoj.gov,ryan.f.burke@usdoj.gov,2025-01-25 05:00:11.747000+00:00,2024-12-10 18:54:03.724000+00:00,https://www.highergov.com/contract-opportunity/15DDHQ25R00000001-Solicitation-bb8c0,https://sam.gov/opp/6a5ce2a51a154c929d6ed4c9ef298955/view
7673cebe8e7948ef848f9582424224cb,15DDHQ25N00000001,Installation of commercial Air Imagining Systems (AIS),"FOR INFORMATIONAL PURPOSES ONLY

The Drug Enforcement Administration (DEA), in support of the Aviation Division (SG), has a requirement for commercial Airborne Imaging Systems (AIS) and Mission Equipment to be installed on existing Government-owned and operated aircraft.

The commercial Airborne Imaging Systems and Mission Equipment shall be installed on the following types of Government-owned and operated aircraft in support of DEA law enforcement missions.


	Cessna 206 Aircraft
	Cessna 208 Aircraft
	Bell 407 Helicopter
	Bell 412 Helicopter


The aircraft for this requirement are operated and maintained in accordance with Federal Aviation Administration (FAA) Part 91 and the aircraft manufacturer&rsquo;s recommendations. The successful Contractor shall be responsible for certification of the complete Airborne Imaging Systems and Mission Equipment in accordance with any/all applicable FAA regulations and maintain the aircraft&rsquo;s Standard Airworthy Certificate. Airborne Imaging Systems and Mission Equipment and or components with approved Supplemental Type Certificates are preferred but not mandatory.

The government intends to procure these services in accordance with Federal Acquisition Regulation (FAR) Parts 12 and 15.

This requirement is being procured as a Small-Business Set-Aside.

It is anticipated that this acquisition will result in the award of a single Indefinite-Quantity-Indefinite Delivery (IDIQ), firm-fixed price contract type. The anticipated period of performance will include a 12-month base period plus four 12-month option periods. The Request for Proposals (RFP) will only be available on the System-for-Award-Management (SAM) web page at http://www.sam.gov . It is anticipated that the RFP will be made available for downloading sometime beyond fifteen (15) days after publication of this announcement. Prospective offerors are responsible for downloading the RFP and all attachments. It is the offeror&#39;s responsibility to monitor SAM.gov for the release of the solicitation and amendments. Written and telephone requests will not be honored. Consistent with FAR 5.203(c) Publicizing and Response Time for the acquisition of commercial products or commercial services, it is anticipated that proposals will be due 15 days following the date of issuance of the RFP.
",Drug Enforcement Administration,2024-10-11 16:28:49.776000+00:00,2024-10-11,2024-10-26 17:00:00+00:00,2024-10-26,America/New_York,Presolicitation,SBA,336411,Aircraft Manufacturing ,N067,Installation of Equipment: Photographic Equipment,,Ryan Burke,Ryan.F.Burke@dea.gov,,,,Robert Radke,robert.j.radke@dea.gov,,,,,Fort Worth,TX,,USA,UNITED STATES,,,,,,,,,,,1524,DEAAA,AVIATION DIVISION,7673cebe8e7948ef848f9582424224cb,ryan.f.burke@usdoj.gov,ryan.f.burke@usdoj.gov,2024-11-10 05:04:24.901000+00:00,2024-10-11 16:14:54.153000+00:00,https://www.highergov.com/contract-opportunity/15DDHQ25N00000001-Presolicitation-224cb,https://sam.gov/opp/7673cebe8e7948ef848f9582424224cb/view
e6ac84886f9045a1a5840243b658e67b,12639524P0352,Complete Strip and Paint – Cessna 206,,Marketing and Regulatory Programs Business Services,2024-09-10 19:02:01.609000+00:00,2024-09-10,,,,Award Notice,SBA,488190,Other Support Activities for Air Transportation,J015,"Maintenance, Repair and Rebuilding of Equipment: Aircraft and Airframe Structural Components",,Kim Yen Tu,kimyen.n.tu@usda.gov,16123363602,,,,,,,,,,,,,,af46a62564df49eba24fb823498225bd,2024-09-09,54707.0,12639524P00352,,,GHDSYSTEMS LLC,NU3BFDME94C5,97D00,,12K3,6395,USDA  APHIS  MRPBS,e6ac84886f9045a1a5840243b658e67b,kimyen.n.tu@usda.gov,kimyen.n.tu@usda.gov,2024-09-25 03:55:44.853000+00:00,2024-09-10 18:59:41.069000+00:00,https://www.highergov.com/contract-opportunity/12639524P0352-Award_Notice-GHDSYSTEMS_LLC-8e67b,https://sam.gov/opp/e6ac84886f9045a1a5840243b658e67b/view
c9bf9dc5b4034d18b1d322b17093b65d,12639524Q0282,"Purchase Rebuilt Continental Factory Engine, Model: IO520","This is a solicitation to purchase one Rebuilt Continental Factory Engine, Model: IO520 F12B. This is a brand name purchase. Please see the solicitation package and brand name justification attached. 




",Marketing and Regulatory Programs Business Services,2024-09-03 20:22:23.165000+00:00,2024-09-03,2024-09-12 15:00:00+00:00,2024-09-12,America/Chicago,Solicitation,SBA,336412,Aircraft Engine and Engine Parts Manufacturing ,2840,"Gas Turbines and Jet Engines, Aircraft, Prime Moving; and Components",,Kim Yen Tu,kimyen.n.tu@usda.gov,16123363602,,,,,,,,,,,,,,5af5801da52b40dcb55026e3f523cb5e,,,,,,,,,,12K3,6395,USDA  APHIS  MRPBS,c9bf9dc5b4034d18b1d322b17093b65d,kimyen.n.tu@usda.gov,kimyen.n.tu@usda.gov,2024-09-28 04:00:05.959000+00:00,2024-09-03 20:18:25.924000+00:00,https://www.highergov.com/contract-opportunity/12639524Q0282-Solicitation-3b65d,https://sam.gov/opp/c9bf9dc5b4034d18b1d322b17093b65d/view
af46a62564df49eba24fb823498225bd,12639524Q0277,Complete Strip and Paint – Cessna 206,"Questions &amp; Answers 8/29/2024

Question 1: Who would be responsible for moving aircraft to contractor facility for performance? 

Answer 1: The government will transport the aircraft to and from the contractor facility. 



Question 2: Are there any location restrictions for contractor facility?

Answer 2: Work will be conducted at the vendors location and there is no limit other than the Continental United States

___________________________

Please see solicitation package and attachment for more details. 
",Marketing and Regulatory Programs Business Services,2024-08-29 18:37:09.878000+00:00,2024-08-29,2024-09-03 15:00:00+00:00,2024-09-03,America/Chicago,Solicitation,SBA,488190,Other Support Activities for Air Transportation,J015,"Maintenance, Repair and Rebuilding of Equipment: Aircraft and Airframe Structural Components",,Kim Yen Tu,kimyen.n.tu@usda.gov,16123363602,,,,,,,,,,,,,,4ca3447129f84093969da314fb6b6977,,,,,,,,,,12K3,6395,USDA  APHIS  MRPBS,9134a966dcb4433db4149abfcb2520c8,kimyen.n.tu@usda.gov,kimyen.n.tu@usda.gov,2024-09-19 03:55:42.232000+00:00,2024-08-29 18:32:55.282000+00:00,https://www.highergov.com/contract-opportunity/12639524Q0277-Solicitation-520c8,https://sam.gov/opp/af46a62564df49eba24fb823498225bd/view
