Notice ID,Solicitation ID,Solicitation Title,Description Text,Agency Name,Posted Timestamp,Posted Date,Response Timestamp,Response Deadline,Response Timezone,Opportunity Type,Set Aside Code,NAICS,NAICS Title,PSC,PSC Description,Primary Contact Title,Primary Contact Name,Primary Contact Email,Primary Contact Phone,Primary Contact Fax,Secondary Contact Title,Secondary Contact Name,Secondary Contact Email,Secondary Contact Phone,Secondary Contact Fax,Place of Performance Street Address,Place of Performance Street Address2,Place of Performance City,Place of Performance State,Place of Performance Zip,Place of Performance Country Code,Place of Performance Country,Related Opportunity Id,Award Date,Award Amount,Award Number,Delivery Order Number,Award Justification,Awardee Name,Awardee UEI,Awardee CAGE Code,Awardee Line Item,FPDS Code,FPDS Org ID,SAM Organization Name,Parent Opportunity ID,Modified By,Created By,Modified Timestamp,Created Timestamp,Site Page,Source Website
94e646611a5741408fa266b4eec5e2db,70LCHE25QPFB00001,Solar Array Maintenance Services,"**NOTE** This solicitation&#39;s end date has been revised to close on 8/20/2025 at 11:00 a.m. EST. 

This is a combined synopsis/solicitation for Solar Array Maintenance for the Federal Law Enforcement Training Center (FLETC) in Cheltenham, MD. This announcement constitutes the only solicitation; proposals are being requested, and a written solicitation will not be issued.  The solicitation is issued as a Request for Quotation (RFQ) number 70LCHE25QPFB00001. Please see attached Combined Synopsis/Soliciation.
",Federal Law Enforcement Training Center,2025-08-12 17:36:32.384000+00:00,2025-08-12,2025-08-20 15:00:00+00:00,2025-08-20,America/New_York,Synopsis Solicitation,SBA,541330,Engineering Services,6117,Solar Electric Power Systems,,Tyshawn Neals,tyshawn.neals@fletc.dhs.gov,843-566-8541,,,,,,,,,Cheltenham,MD,20588,USA,UNITED STATES,aa28895ff25a43c08631605ee90a1898,,,,,,,,,,7015,LE001,FLETC PROCUREMENT CHELTENHAM OFFICE,ac727fb7dae94a2193baf61e04e1d430,tyshawn.neals@fletc.dhs.gov,tyshawn.neals@fletc.dhs.gov,2025-08-12 17:36:32.391000+00:00,2025-08-12 17:31:33.176000+00:00,https://www.highergov.com/contract-opportunity/70LCHE25QPFB00001-Combined_Synopsis_Solicitation-1d430,https://sam.gov/opp/94e646611a5741408fa266b4eec5e2db/view
e5b2139c91624bb2aca336bcafa3ada5,1305M225Q0181,AML Moving Vessel Profiler (MVP),MVP units currently exist in the fleet and this would be utilized as a fleet spare and available to deploy on Fisheries ships as requested by the project.   ,Eastern Acquisition Division,2025-08-12 16:12:46.023000+00:00,2025-08-12,2025-08-28 14:00:00+00:00,2025-08-28,America/New_York,Synopsis Solicitation,SBA,334511,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing ",1910,"Transport Vessels, Passenger and Troop",,"NORTHCUTT, ANDREW",ANDREW.NORTHCUTT@NOAA.GOV,,,,,,,,,,,,,,,,,,,,,,,,,1330,000WC,DEPT OF COMMERCE NOAA,e5b2139c91624bb2aca336bcafa3ada5,Jessica.Loftus@noaa.gov,Jessica.Loftus@noaa.gov,2025-08-12 16:12:46.023000+00:00,2025-08-12 16:12:45.255000+00:00,https://www.highergov.com/contract-opportunity/1305M225Q0181-Combined_Synopsis_Solicitation-3ada5,https://sam.gov/opp/e5b2139c91624bb2aca336bcafa3ada5/view
97352ef007e147438d5880da7f493add,80JSC026RGNC4,GN&C IV Follow-On,"The Aeroscience and Flight Mechanics Division (AFMD) of the National Aeronautics and Space Administration (NASA) Lyndon B. Johnson Space Center (JSC) is seeking contractor support for the attached Statement of Work supporting engineering design, development, integration, test, analysis, verification and validation, certification, and spaceflight support activities within the areas of Guidance Navigation &amp; Control (GN&amp;C) systems, integrated avionics systems, and autonomous flight operations. The work is currently being performed by The Charles Stark Draper Laboratory, Inc (Draper) of Cambridge, MA. NASA is interested in hearing from any other qualified source that may be able to provide these services, particularly small businesses of any socioeconomic category. Any qualified source that is interested in potentially bidding on this opportunity must submit a capabilities statement identifying its core competencies related to this SOW along with at least one past performance reference that indicates successful performance of similar work within the last five years. A relevant corporate example would be performing similar work at a similar complexity of a contract with a value greater than $30M. If no qualified sources are identified, the Government intends to award this procurement on a sole-source basis to Draper.  The response shall include the contract number, general scope description, contract value, and period of performance at a minimum. 
",Johnson Space Center,2025-08-12 15:23:10.731000+00:00,2025-08-12,2025-08-26 17:00:00+00:00,2025-08-26,America/Chicago,Sources Sought,,541330,Engineering Services,B599,Other Special Studies and Analysis,,Jonathan Anzures,jonathan.anzures@nasa.gov,,,,Maya Evans,maya.e.evans@nasa.gov,,,,,Houston,TX,77058,USA,UNITED STATES,,,,,,,,,,,8000,JSC00,NASA JOHNSON SPACE CENTER,97352ef007e147438d5880da7f493add,maya.e.evans@nasa.gov,maya.e.evans@nasa.gov,2025-08-12 15:23:10.736000+00:00,2025-08-12 15:04:16.196000+00:00,https://www.highergov.com/contract-opportunity/80JSC026RGNC4-Sources_Sought-93add,https://sam.gov/opp/97352ef007e147438d5880da7f493add/view
a5b0bfc9eb824101bebcec72c084dda4,80NSSC25909960Q,"high altitude, long duration UAS flight services over wildland fires","SEE ATTACHED
",Shared Services Center,2025-08-12 14:30:22.980000+00:00,2025-08-12,2025-08-18 17:00:00+00:00,2025-08-18,America/Chicago,Synopsis Solicitation,,336411,Aircraft Manufacturing ,1510,"Aircraft, Fixed Wing",,Sara Jusino-Terry,sara.a.jusino-terry@nasa.gov,,,,,,,,,,,,,,,,,,,,,,,,,8000,NSSC0,NASA SHARED SERVICES CENTER,a5b0bfc9eb824101bebcec72c084dda4,sara.a.jusino-terry@nasa.gov,sara.a.jusino-terry@nasa.gov,2025-08-12 14:30:22.982000+00:00,2025-08-12 14:29:19.591000+00:00,https://www.highergov.com/contract-opportunity/80NSSC25909960Q-Combined_Synopsis_Solicitation-4dda4,https://sam.gov/opp/a5b0bfc9eb824101bebcec72c084dda4/view
d40fb871b0844c479c40098af6e863e0,36C77624R0123,"C1DA--Building 5 Addition Minor  Design - Memphis, TN 614-324","Regarding the subject project scope, does this project intend to add a new story on top of the existing structure, or an on-grade addition? Scope excerpt below for reference.

Response:  Yes, the intent of this project is to add an additional story to the existing structure, Building 5, as indicated in the first sub-paragraph of paragraph 2 Statement of Work in the A/E Design Scope of Work.

After reviewing the RFQ and SOW, we think an RCDD might be beneficial to the design for this project. Would the VA consider adding RCDD to the required disciplines or allow firms to include additional un-listed resumes?

Response: Yes, a RCDD is required for the telecommunication design as indicated in paragraph 10. Telecommunication Design, of the A/E Design Scope of Work. Statement of Work.
",Program Contracting Activity Central,2025-08-12 14:03:30.731000+00:00,2025-08-12,2024-10-02 19:00:00+00:00,2024-10-02,America/New_York,Presolicitation,SDVOSBC,541330,Engineering Services,C1DA,Architect And Engineering- Construction: Hospitals And Infirmaries,Contract Specialist,Hope Sigala,Hope.Sigala@va.gov,216-447-8300,,,,,,,"Lt. Col Luke Weathers, Jr. VA Medical Center", 1030 Jefferson Ave,Memphis,,38104,,,,,,,,,,,,,3600,00776,PCAC HEALTH INFORMATION (36C776),f721482df9fe4d178d436c393e339f97,jacqueline.adekanbi@va.gov,jacqueline.adekanbi@va.gov,2025-08-12 14:03:30.737000+00:00,2025-08-12 14:01:57.841000+00:00,https://www.highergov.com/contract-opportunity/36C77624R0123-Presolicitation-39f97,https://sam.gov/opp/d40fb871b0844c479c40098af6e863e0/view
836efbf1c4c5457cb6a796bf47fc1710,D-26-SG-0013,"Hangar, Office and Parking Rental","Hangar, Office and Parking Rental - The DEA intends to award a firm-fixed price sole source purchase order to Aurora Business Park, LLC, PO Box 879, Pacific City, OR 97135 for the purpose of Hangar (3,540 SF), Office (240 SF) and Parking (2 Spaces) Rental services.

This acquisition is being pursued on a sole source basis in accordance with statutory authority 41 U.S.C. 3304(a)(1) as implemented by FAR 6.302-1, other than full and open competition is authorized when there is only one responsible source and no other supplies and services will satisfy agency requirements.

Aurora Business Park, LLC is the only known source at this location that can provide all of the required capabilities necessary to provide the DEA with secure hangar space and quick access to the facility and runway on a 24-hour per-day basis.

The NAICS code for this acquisition is 488190 standard size $25,000,000.00.

A determination by the Government not to open the requirement to competition based on the response to this notice is solely within the discretion of the Government. Information received will be considered solely for the purpose of determining whether to conduct a competitive procurement. This notice is NOT a request for proposal. However, all capability statements received by August 15, 2025, at 10:00 AM EST will be considered by the Government. Any source capable of providing the Hangar, Office and Parking Rental services and is interested in submitting a capabilities statement may do so electronically to Mr. Robert Radke at robert.j.radke@dea.gov.
",Drug Enforcement Administration,2025-08-12 10:26:22.902000+00:00,2025-08-12,2025-08-15 14:00:00+00:00,2025-08-15,America/New_York,Special Notice,,488190,Other Support Activities for Air Transportation,X1BZ,Lease/Rental Of Other Airfield Structures,,Robert Radke,robert.j.radke@dea.gov,,,,,,,,,,Pacific City,OR,97135,USA,UNITED STATES,,,,,,,,,,,1524,,DRUG ENFORCEMENT ADMINISTRATION,836efbf1c4c5457cb6a796bf47fc1710,robert.j.radke@usdoj.gov,robert.j.radke@usdoj.gov,2025-08-12 10:26:22.907000+00:00,2025-08-11 13:38:47.103000+00:00,https://www.highergov.com/contract-opportunity/D-26-SG-0013-Special_Notice-c1710,https://sam.gov/opp/836efbf1c4c5457cb6a796bf47fc1710/view
5f12e56c6d3d4f0687f9333888179b08,140R8125Q0277,R--Independent Scientific Peer Review,"This is Not a Solicitation.The Bureau of Reclamation, Materials and Corrosion Laboratory is hosting a virtual Industry Day through Microsoft Teams on August 19, 2025, from 10:30 to 11:30 Mountain Time (MT) to provide information and gain feedback from industry regarding an upcoming requirement to have select Subject Matter Experts (SME) within the industry review and comment on the draft version of Technical Memorandum 8540-2024-13 Corrosion Mitigation for Buried Metallic Water Pipe (TM 2024). For this requirement, Reclamation received Congressional instructions to have TM 2024 reviewed and commented on by three (3) select corrosion mitigation SMEs within the categories of Watter Utility, independent water corrosion control consultant, and /or as a academic professor or researcher. The intent of this is to obtain a range of inputs and points of view from key experts.  Reclamation is looking for sources who can achieve the goal of receiving diverse reviews is to encourage companies to obtain a portion or all of the required SMEs through sub-contracting or teaming arrangements with a few different sources.  For your review and comment(s) we have attached is a Draft Copy of the Performance Work Statement for this requirement.The anticipated NAICS code may be 541330 Engineering Services, 562910 Remediation Services, 541715 - Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology), or another related NIACS still to be determined .Industry Day  - Geared Towards US Prime and Sub-Contractors.Date: August 19, 2025Time:  10:30 AM to 11:30 am MTLocation: Microsoft Teams MeetingRegistration:  All parties interested in attending this event need to RSVP no later than 12:00 PM Mountain Time on Friday, August 15, 2025. Please send your RSVP to the following:1.	Gene Parrill email: gparrill@usbr.gov2.	Kelly Cook email: kcook@usbr.gov3.	Evonne Huggins email: ehuggins@usbr.govInterested parties should include the following in their email to register: ¿	Company Name¿	Business Size¿	Point of Contact¿	Point of Contact Email¿	Names of Attendee(s)Once we receive your RSVP a link will be sent out confirming your registration to the event. If you have not received a confirmation email by 8 am MT Monday, August 18, 2025, please contact Gene Parrill at gparrill@usbr.gov. Thank you in advance for your response and we look forward to seeing you on August 19th!*Reimbursement WILL NOT be provided by the government for participation in or preparation for the industry day.",Bureau of Reclamation,2025-08-11 23:20:23.406000+00:00,2025-08-11,2025-08-18 13:00:00+00:00,2025-08-18,America/Denver,Special Notice,,541330,Engineering Services,R499,Other Professional Services,,"Parrill, Gene",gparrill@usbr.gov,0000000000,,,,,,,,,,,,,,,,,,,,,,,,1425,00081,DENVER FED CENTER,5f12e56c6d3d4f0687f9333888179b08,fbms_acq@ios.doi.gov,fbms_acq@ios.doi.gov,2025-08-11 23:20:23.406000+00:00,2025-08-11 23:20:20.036000+00:00,https://www.highergov.com/contract-opportunity/140R8125Q0277-Special_Notice-79b08,https://sam.gov/opp/5f12e56c6d3d4f0687f9333888179b08/view
56574613fe55444aa53460f07cb2bb51,1158067,Ground Penetrating Radar Equipment (Brand Name of Equal),"The Natural Resources Conservation Service (NRCS) seeks to acquire high-performance Ground Penetrating Radar (GPR) equipment to support its mission-critical operations across Puerto Rico and the U.S. Virgin Islands.

NRCS is requesting quotes for an SIR-4000 (or equal) Data Acquisition System with both 200 MHz and 350 MHz antennas (with their survey wheel encoders).

Equipment has to include:


	Radan 7 software with the 3D Module for signal processing and interpretation
	Accessories for GPS connection
	Cables, connectors, poles, extensions tripods, mountain plates and other utilities needed for equipment operation


Please see attached Requirement List

Brand Name Solutions will be evaluated at lowest price technically acceptable. When providing an &quot;equal&quot; product the burden of proof of being equal shall be on the vendor. Solutions varying from the Brand Name will have a technical evaluation and assessed a risk factor based on compatibility and any transition plan needed. All transition costs to an &quot;equal&rdquo; product shall be included in the pricing as a separate CLIN. The risk factor and price will both be evaluated with equal weight.  If necessary, a comparative evaluation will be completed between brand name products and offers with equal products to determine the best value for the Government.

Ship to: 654 Munoz Rivera Ave, Ste. 604, San Juan, PR 00918
",USDA Office of the Chief Financial Officer,2025-08-11 21:03:01.903000+00:00,2025-08-11,2025-08-15 16:00:00+00:00,2025-08-15,America/Denver,Solicitation,SBA,334511,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing ",6655,Geophysical Instruments,,Corey Murzyn,corey.murzyn@usda.gov,9702955694,,,,,,,,,San Juan,PR,00918,USA,UNITED STATES,,,,,,,,,,,1205,3144,"USDA, OCP-POD-ACQ-MGMT-BRANCH-FTC",ee12713959454975a3fea88f72162d24,corey.murzyn@usda.gov,corey.murzyn@usda.gov,2025-08-11 21:03:01.909000+00:00,2025-08-11 21:02:36.793000+00:00,https://www.highergov.com/contract-opportunity/1158067-Solicitation-62d24,https://sam.gov/opp/56574613fe55444aa53460f07cb2bb51/view
ead8a5766b364728835fa381709e410c,36C25525R0048,C1DA--589A7-25-503 Prepare Site for  Cath Lab Equipment,,VISN 15: Heartland Network,2025-08-11 19:24:20.192000+00:00,2025-08-11,,,,Award Notice,SDVOSBC,541330,Engineering Services,C1DA,Architect And Engineering- Construction: Hospitals And Infirmaries,Contract Specialist,Jennifer Hill,Jennifer.Hill@va.gov,913-946-1144,,,,,,,,,,,,,,,2025-08-11,141354.08,36C25525C0045,,,MOON TREE LLC,K2F5V21H7KB6,91XS0,,3600,00255,255-NETWORK CONTRACT OFFICE 15 (36C255),ead8a5766b364728835fa381709e410c,jennifer.hill@va.gov,jennifer.hill@va.gov,2025-08-11 19:24:20.192000+00:00,2025-08-11 19:24:18.002000+00:00,https://www.highergov.com/contract-opportunity/36C25525R0048-Award_Notice-MOON_TREE_LLC-e410c,https://sam.gov/opp/ead8a5766b364728835fa381709e410c/view
d59005f0c94e40d984f8c9d57342a9e8,1305M225Q0029,A&E IDIQ Contracts for Naval Architecture and Marine Engineering Support,"Please see uploaded documentation &amp; attachments:

a) Presolicitation Notice (1305M225Q0029_Invitation_SF330)

b) SOW Draft (SOW_Draft_Engineering_Services_

c) Amendment 0001 (A0001_1305M225Q0029_SF330)

d) Amendment 0002 (A0002_1305M225Q0029_SF330)

e) Amendment 0003 (A0003_1305M225Q0029_SF330): Cancelation of Presolicitation Notice.
",Eastern Acquisition Division,2025-08-11 18:16:37.790000+00:00,2025-08-11,2025-08-15 14:00:00+00:00,2025-08-15,America/New_York,Presolicitation,SBA,541330,Engineering Services,C219,Other Architect and Engineering Services,,Elizabeth Eichelberger,Elizabeth.Eichelberger@noaa.gov,7574416557,,,Andrew Northcutt,andrew.northcutt@noaa.gov,7574416457,,,,Norfolk,VA,23510,USA,UNITED STATES,,,,,,,,,,,1330,000WC,DEPT OF COMMERCE NOAA,3fd163a1c6174b728eae2aada266154e,andre.frantz@noaa.gov,andre.frantz@noaa.gov,2025-08-11 18:16:37.797000+00:00,2025-08-11 18:13:37.048000+00:00,https://www.highergov.com/contract-opportunity/1305M225Q0029-Presolicitation-6154e,https://sam.gov/opp/d59005f0c94e40d984f8c9d57342a9e8/view
