Notice ID,Solicitation ID,Solicitation Title,Description Text,Agency Name,Posted Timestamp,Posted Date,Response Timestamp,Response Deadline,Response Timezone,Opportunity Type,Set Aside Code,NAICS,NAICS Title,PSC,PSC Description,Primary Contact Title,Primary Contact Name,Primary Contact Email,Primary Contact Phone,Primary Contact Fax,Secondary Contact Title,Secondary Contact Name,Secondary Contact Email,Secondary Contact Phone,Secondary Contact Fax,Place of Performance Street Address,Place of Performance Street Address2,Place of Performance City,Place of Performance State,Place of Performance Zip,Place of Performance Country Code,Place of Performance Country,Related Opportunity Id,Award Date,Award Amount,Award Number,Delivery Order Number,Award Justification,Awardee Name,Awardee UEI,Awardee CAGE Code,Awardee Line Item,FPDS Code,FPDS Org ID,SAM Organization Name,Parent Opportunity ID,Modified By,Created By,Modified Timestamp,Created Timestamp,Site Page,Source Website
0bb43af99e6e4e77a84c8811953c61bb,70Z03825QH0000109,Overhaul Aileron Booster Assemblies,,Aviation Logistics Center,2025-08-12 18:51:00.552000+00:00,2025-08-12,,,,Award Notice,SBA,336413,Other Aircraft Parts and Auxiliary Equipment Manufacturing ,1650,"Aircraft Hydraulic, Vacuum and De-icing System Components",,Kiley Brown,Kiley.E.Brown2@uscg.mil,,,,D05-SMB-LRS-Procurement@uscg.mil,D05-SMB-LRS-Procurement@uscg.mil,,,,,,,,,,,2025-08-12,71461.0,70Z03825PC0000223,,,Aero Engineering Support Group Inc,V2DBWPJUGEA6,7W0A6,,7008,70Z038,AVIATION LOGISTICS CENTER (ALC)(000,0bb43af99e6e4e77a84c8811953c61bb,tamela.s.bunting@uscg.mil,tamela.s.bunting@uscg.mil,2025-08-12 18:51:00.558000+00:00,2025-08-12 18:48:11.888000+00:00,https://www.highergov.com/contract-opportunity/70Z03825QH0000109-Award_Notice-Aero_Engineering_Support_Group_Inc-c61bb,https://sam.gov/opp/0bb43af99e6e4e77a84c8811953c61bb/view
3c09a715e56748959adc7e5d7d630edb,70Z03825QE0000075,Purchase of Wing Safety Support,"This is a combined synopsis/solicitation for commercial items prepared in accordance with (IAW) the format in Federal Acquisition Regulation (FAR) subpart 12.6 and part 13 as supplemented with additional information included in this notice.  This announcement constitutes the only solicitation; quotations are being requested and a written solicitation will not be issued.  Solicitation number 70Z03825QE0000075 is issued as a Request for Quotation (RFQ).  This solicitation document and incorporated provisions and clauses are those in effect through Federal Acquisition Circular Number 2025-05, effective 7 August 2025.

IAW FAR 6.302-1(a)(1), the United States Coast Guard (USCG). Aviation Logistics Center (ALC) plans to award one (1) purchase order and negotiate only with Airbus DS Military Aircraft Inc. (CAGE Code 0DAF1) as the only known source of supply. All responsible sources may submit a capability statement, proposal, or quotation which shall be considered by the agency.

Only the brand-name items requested in this solicitation will be considered for award.  All items shall have clear traceability to the Original Equipment Manufacturer (OEM), Airbus DS Military Aircraft Inc. (CAGE Code 0DAF1). Traceability means a clear, complete, documented, and auditable paper trail that traces each step from an OEM or distributor to its current location. All parts shall be NEW approved parts.

The contractor shall furnish a Certificate of Conformance (COC) IAW FAR clause 52.246-15. The COC must be submitted in the format specified in the clause. Offerors must be able to provide necessary certification including traceability to the manufacturer, manufacturer&#39;s COC and its own certificate of conformance.  Prospective vendors who are not the OEM must provide traceability for the offered product back to the manufacturer prior to award. An example of acceptable traceability documentation would be a quote from the OEM with pricing information redacted.

The applicable North American Industry Classification System (NAICS) code is 336413. The small business size standard is 1,250 employees. This is an unrestricted requirement.

SCHEDULE OF SUPPLIES

Nomenclature            National Stock Number (NSN)        Part Number (PN)        Quantity (Qty)

Wing Safety Support    5120-33-202-1581                            0892.50                         1 each

NOTE: NO DRAWINGS, SPECIFICATIONS, OR SCHEMATICS ARE AVAILABLE FROM THE USCG.

Please carefully review this solicitation&rsquo;s attachments for additional information and requirements such as applicable clauses and instructions to offerors:  


	Attachment 1 &ndash; Terms and Conditions &ndash; 70Z03825QE0000075
	Attachment 2 &ndash; Redacted J and A &ndash; 70Z03825QE0000075


The closing date and time for receipt of offers is 18 August 2025 at 2:00 p.m. Eastern Time. Anticipated award date is on or about 19 August 2025.  Email quotations are preferred and may be sent to Samuel.J.Ownley2@uscg.mil. Please indicate 70Z03825QE0000075 in the subject line.
",Aviation Logistics Center,2025-08-12 18:04:12.005000+00:00,2025-08-12,2025-08-18 18:00:00+00:00,2025-08-18,America/New_York,Synopsis Solicitation,,336413,Other Aircraft Parts and Auxiliary Equipment Manufacturing ,5120,"Hand Tools, Nonedged, Nonpowered",,Jordan Ownley,samuel.j.ownley2@uscg.mil,,,,,,,,,,,,,,,,,,,,,,,,,7008,70Z038,AVIATION LOGISTICS CENTER (ALC)(000,3c09a715e56748959adc7e5d7d630edb,jackson.s.perry@uscg.mil,samuel.j.ownley2@uscg.mil,2025-08-12 18:04:12.011000+00:00,2025-08-12 17:57:42.144000+00:00,https://www.highergov.com/contract-opportunity/70Z03825QE0000075-Combined_Synopsis_Solicitation-30edb,https://sam.gov/opp/3c09a715e56748959adc7e5d7d630edb/view
94e646611a5741408fa266b4eec5e2db,70LCHE25QPFB00001,Solar Array Maintenance Services,"**NOTE** This solicitation&#39;s end date has been revised to close on 8/20/2025 at 11:00 a.m. EST. 

This is a combined synopsis/solicitation for Solar Array Maintenance for the Federal Law Enforcement Training Center (FLETC) in Cheltenham, MD. This announcement constitutes the only solicitation; proposals are being requested, and a written solicitation will not be issued.  The solicitation is issued as a Request for Quotation (RFQ) number 70LCHE25QPFB00001. Please see attached Combined Synopsis/Soliciation.
",Federal Law Enforcement Training Center,2025-08-12 17:36:32.384000+00:00,2025-08-12,2025-08-20 15:00:00+00:00,2025-08-20,America/New_York,Synopsis Solicitation,SBA,541330,Engineering Services,6117,Solar Electric Power Systems,,Tyshawn Neals,tyshawn.neals@fletc.dhs.gov,843-566-8541,,,,,,,,,Cheltenham,MD,20588,USA,UNITED STATES,aa28895ff25a43c08631605ee90a1898,,,,,,,,,,7015,LE001,FLETC PROCUREMENT CHELTENHAM OFFICE,ac727fb7dae94a2193baf61e04e1d430,tyshawn.neals@fletc.dhs.gov,tyshawn.neals@fletc.dhs.gov,2025-08-12 17:36:32.391000+00:00,2025-08-12 17:31:33.176000+00:00,https://www.highergov.com/contract-opportunity/70LCHE25QPFB00001-Combined_Synopsis_Solicitation-1d430,https://sam.gov/opp/94e646611a5741408fa266b4eec5e2db/view
e5b2139c91624bb2aca336bcafa3ada5,1305M225Q0181,AML Moving Vessel Profiler (MVP),MVP units currently exist in the fleet and this would be utilized as a fleet spare and available to deploy on Fisheries ships as requested by the project.   ,Eastern Acquisition Division,2025-08-12 16:12:46.023000+00:00,2025-08-12,2025-08-28 14:00:00+00:00,2025-08-28,America/New_York,Synopsis Solicitation,SBA,334511,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing ",1910,"Transport Vessels, Passenger and Troop",,"NORTHCUTT, ANDREW",ANDREW.NORTHCUTT@NOAA.GOV,,,,,,,,,,,,,,,,,,,,,,,,,1330,000WC,DEPT OF COMMERCE NOAA,e5b2139c91624bb2aca336bcafa3ada5,Jessica.Loftus@noaa.gov,Jessica.Loftus@noaa.gov,2025-08-12 16:12:46.023000+00:00,2025-08-12 16:12:45.255000+00:00,https://www.highergov.com/contract-opportunity/1305M225Q0181-Combined_Synopsis_Solicitation-3ada5,https://sam.gov/opp/e5b2139c91624bb2aca336bcafa3ada5/view
97352ef007e147438d5880da7f493add,80JSC026RGNC4,GN&C IV Follow-On,"The Aeroscience and Flight Mechanics Division (AFMD) of the National Aeronautics and Space Administration (NASA) Lyndon B. Johnson Space Center (JSC) is seeking contractor support for the attached Statement of Work supporting engineering design, development, integration, test, analysis, verification and validation, certification, and spaceflight support activities within the areas of Guidance Navigation &amp; Control (GN&amp;C) systems, integrated avionics systems, and autonomous flight operations. The work is currently being performed by The Charles Stark Draper Laboratory, Inc (Draper) of Cambridge, MA. NASA is interested in hearing from any other qualified source that may be able to provide these services, particularly small businesses of any socioeconomic category. Any qualified source that is interested in potentially bidding on this opportunity must submit a capabilities statement identifying its core competencies related to this SOW along with at least one past performance reference that indicates successful performance of similar work within the last five years. A relevant corporate example would be performing similar work at a similar complexity of a contract with a value greater than $30M. If no qualified sources are identified, the Government intends to award this procurement on a sole-source basis to Draper.  The response shall include the contract number, general scope description, contract value, and period of performance at a minimum. 
",Johnson Space Center,2025-08-12 15:23:10.731000+00:00,2025-08-12,2025-08-26 17:00:00+00:00,2025-08-26,America/Chicago,Sources Sought,,541330,Engineering Services,B599,Other Special Studies and Analysis,,Jonathan Anzures,jonathan.anzures@nasa.gov,,,,Maya Evans,maya.e.evans@nasa.gov,,,,,Houston,TX,77058,USA,UNITED STATES,,,,,,,,,,,8000,JSC00,NASA JOHNSON SPACE CENTER,97352ef007e147438d5880da7f493add,maya.e.evans@nasa.gov,maya.e.evans@nasa.gov,2025-08-12 15:23:10.736000+00:00,2025-08-12 15:04:16.196000+00:00,https://www.highergov.com/contract-opportunity/80JSC026RGNC4-Sources_Sought-93add,https://sam.gov/opp/97352ef007e147438d5880da7f493add/view
77795ab818364295913909bd2b302c12,70Z03825QJ0000413,Mount Assy,"NOTICE OF INTENT TO AWARD A SOLE SOURCE BOA CALL: The United States Coast Guard (USCG), Aviation Logistics Center (ALC), Medium Range Recovery (MRR) Procurement Division intends to solicit and negotiate with only one source, the Original Equipment Manufacturer (OEM) &ndash; Sikorsky Aircraft Corporation (Cage Code 78286), under Basic Ordering Agreement SPE4A1-22-G-0005 for the items listed in Attachment 1. In accordance with FAR 13.106-1 (b)(1), the items listed in Attachment 1 are available from only one source. The North American Industry Classification System Code (NAICS) is 336413 with a size standard of 1,250 Employees. The Product Service Code (PSC) is 1560. The small business set aside has been dissolved. This requirement is unrestricted. Delivery is requested within one hundred and seventy-four (174) days after the receipt of order (ARO). The USCG desires early deliveries therefore early shipments are encouraged at no additional cost to the Government. F.O.B. point is Origin.  Inspection and Acceptance under this contract will be performed at origin by Defense Contract Management Agency (DCMA). Solicitation number 70Z03825QJ0000413 is assigned for tracking purposes only. No solicitation package will be issued. This notice of intent is not a request for competitive proposals; however, all responsible sources may submit a quotation to Cindy.K.Harmes@uscg.mil and mrr-procurement@uscg.mil with 70Z03825QJ0000413 in the subject line which will be considered by the agency if received no later than 2:00 P.M., (EDT) on 10 September, 2025. A determination by the Government not to compete the proposed procurement based upon the responses to this notice is solely within the discretion of the Government. Award will be made upon determination of fair and reasonable pricing.


	See Attachment 1 &ndash; &ldquo;List of Items - 70Z03825QJ0000413&rdquo;
	See Attachment 2 &ndash; &ldquo;Redacted J and A &ndash; 70Z03825QJ0000413&rdquo;


System updates may lag policy updates. The System for Award Management (SAM) may continue to require entities to complete representations based on provisions that are not included in agency solicitations. Examples include 52.222-25, Affirmative Action Compliance, and paragraph (d) of 52.212-3, 52.223-22, Public Disclosure of Greenhouse Gas Emissions and Reduction Goals&mdash;Representation, and Offeror Representations and Certifications&mdash;Commercial Products and Commercial Services, including paragraph (t). Additional examples include 52.212-5, Contract Terms and Conditions Required To Implement Statutes or Executive Orders&mdash;Commercial Products and Commercial Services, and 52.213-4, Terms and Conditions&mdash;Simplified Acquisitions (Other Than Commercial Products and Commercial Services).

Contracting officers will not consider the following representations when making award decisions or enforcing requirements:

&middot; Paragraph (d) and (t) of 52.212-3, Offeror Representations and Certifications&mdash;Commercial Products and Commercial Services

&middot; Paragraphs (b)(33), (b)(34), (e)(1)(ix), and (e)(1)(x) of 52.212-5, Contract Terms and Conditions Required To Implement Statutes or Executive Orders&mdash;Commercial Products and Commercial Services. Additionally, per this deviation, in paragraph (b)(46), E.O. 14057 does not apply;

&middot; Paragraphs (e)(1)(ii)(I) and (e)(1)(ii)(J) of Alternate II of 52.212-5, Contract Terms and Conditions Required To Implement Statutes or Executive Orders&mdash;Commercial Products and Commercial Services

&middot; Paragraphs (a)(1)(vii) and (a)(1)(viii) of 52.213-4, Terms and Conditions&mdash;Simplified Acquisitions (Other Than Commercial Products and Commercial Services). Additionally, per this deviation, in paragraph (b)(1)(xvii), E.O. 14057 does not apply.

Entities are not required to update their entity registration to remove these representations in SAM.










",Aviation Logistics Center,2025-08-12 15:07:49.779000+00:00,2025-08-12,2025-09-10 18:00:00+00:00,2025-09-10,America/New_York,Special Notice,,336413,Other Aircraft Parts and Auxiliary Equipment Manufacturing ,1560,Airframe Structural Components,,Cindy Harmes,Cindy.K.Harmes@uscg.mil,,,,MRR Procurement Mailbox,mrr-procurement@uscg.mil,,,,,,,,,,,,,,,,,,,,7008,70Z038,AVIATION LOGISTICS CENTER (ALC)(000,77795ab818364295913909bd2b302c12,julie.g.lininger@uscg.mil,julie.g.lininger@uscg.mil,2025-08-12 15:07:49.786000+00:00,2025-08-12 14:59:48.131000+00:00,https://www.highergov.com/contract-opportunity/70Z03825QJ0000413-Special_Notice-02c12,https://sam.gov/opp/77795ab818364295913909bd2b302c12/view
ff0c2ea059954c2189b62244e6ed9b22,70Z03825QH0000102,Overhaul of Ball Screw Assemblies,"This is a combined synopsis/solicitation for commercial items prepared in accordance with the format in Federal Acquisition Regulation (FAR) Subpart 12.6 and Part 13, as supplemented with additional information included in this notice. This announcement constitutes the only solicitation; quotations are being requested and a written solicitation will not be issued.  Solicitation number 70Z03825QH0000102 is issued as a Request for Quotation (RFQ).  This solicitation document and incorporated provisions and clauses are those in effect through Federal Acquisition Circular 2025-04 (Effective June 11, 2025).



The applicable North American Industry Classification Standard Code is 336413.  The small business size standard is 1,250. This is an unrestricted requirement.   All responsible sources may submit a quotation which shall be considered by the agency. 



It is anticipated that a firm-fixed price purchase order will be awarded on a competitive basis as a result of this synopsis/solicitation for the items found on Attachment 1 &ndash; SCHEDULE - 70Z03825QH0000102. Concerns having the expertise and required capabilities to provide these items are invited to submit offers in accordance with the requirements stipulated in this solicitation.  All responsible sources may submit a quotation which shall be considered by the agency.



NOTE: No drawings, specifications, or schematics are available from this agency.



SEE ATTACHMENT 1 - &ldquo;SCHEDULE &ndash; 70Z03825QH0000102&rdquo;



SEE ATTACHMENT 2 - &ldquo;TERMS AND CONDITIONS &ndash; 70Z03825QH0000102&rdquo; FOR APPLICABLE CLAUSES, INSTRUCTIONS AND EVALUATION CRITERIA. 



SEE ATTACHMENT 3 - &ldquo;STATEMENT OF WORK&ndash; 70Z03825QH0000102&rdquo; 



Closing date and time for receipt of offers is 7/24/2025 at 2:00PM Eastern Standard Time.   Anticipated award date is on or about 7/30/2025.  E-mail quotations shall be sent to Kiley.E.Brown2@uscg.mil and D05-SMB-LRS-Procurement@uscg.mil. Please indicate the RFQ number in subject line. 


",Aviation Logistics Center,2025-08-12 14:46:08.115000+00:00,2025-08-12,2025-07-24 18:00:00+00:00,2025-07-24,America/New_York,Synopsis Solicitation,,336413,Other Aircraft Parts and Auxiliary Equipment Manufacturing ,1620,Aircraft Landing Gear Components,,Kiley Brown,Kiley.E.Brown2@uscg.mil,,,,D05-SMB-LRS-Procurement@uscg.mil,D05-SMB-LRS-Procurement@uscg.mil,,,,,,,,,,,,,,,,,,,,7008,70Z038,AVIATION LOGISTICS CENTER (ALC)(000,7cac42f73d594fabbfcd83d2064a6bf7,tamela.s.bunting@uscg.mil,tamela.s.bunting@uscg.mil,2025-08-12 14:46:08.115000+00:00,2025-08-12 14:46:08.115000+00:00,https://www.highergov.com/contract-opportunity/70Z03825QH0000102-Combined_Synopsis_Solicitation-a6bf7,https://sam.gov/opp/ff0c2ea059954c2189b62244e6ed9b22/view
a5b0bfc9eb824101bebcec72c084dda4,80NSSC25909960Q,"high altitude, long duration UAS flight services over wildland fires","SEE ATTACHED
",Shared Services Center,2025-08-12 14:30:22.980000+00:00,2025-08-12,2025-08-18 17:00:00+00:00,2025-08-18,America/Chicago,Synopsis Solicitation,,336411,Aircraft Manufacturing ,1510,"Aircraft, Fixed Wing",,Sara Jusino-Terry,sara.a.jusino-terry@nasa.gov,,,,,,,,,,,,,,,,,,,,,,,,,8000,NSSC0,NASA SHARED SERVICES CENTER,a5b0bfc9eb824101bebcec72c084dda4,sara.a.jusino-terry@nasa.gov,sara.a.jusino-terry@nasa.gov,2025-08-12 14:30:22.982000+00:00,2025-08-12 14:29:19.591000+00:00,https://www.highergov.com/contract-opportunity/80NSSC25909960Q-Combined_Synopsis_Solicitation-4dda4,https://sam.gov/opp/a5b0bfc9eb824101bebcec72c084dda4/view
d40fb871b0844c479c40098af6e863e0,36C77624R0123,"C1DA--Building 5 Addition Minor  Design - Memphis, TN 614-324","Regarding the subject project scope, does this project intend to add a new story on top of the existing structure, or an on-grade addition? Scope excerpt below for reference.

Response:  Yes, the intent of this project is to add an additional story to the existing structure, Building 5, as indicated in the first sub-paragraph of paragraph 2 Statement of Work in the A/E Design Scope of Work.

After reviewing the RFQ and SOW, we think an RCDD might be beneficial to the design for this project. Would the VA consider adding RCDD to the required disciplines or allow firms to include additional un-listed resumes?

Response: Yes, a RCDD is required for the telecommunication design as indicated in paragraph 10. Telecommunication Design, of the A/E Design Scope of Work. Statement of Work.
",Program Contracting Activity Central,2025-08-12 14:03:30.731000+00:00,2025-08-12,2024-10-02 19:00:00+00:00,2024-10-02,America/New_York,Presolicitation,SDVOSBC,541330,Engineering Services,C1DA,Architect And Engineering- Construction: Hospitals And Infirmaries,Contract Specialist,Hope Sigala,Hope.Sigala@va.gov,216-447-8300,,,,,,,"Lt. Col Luke Weathers, Jr. VA Medical Center", 1030 Jefferson Ave,Memphis,,38104,,,,,,,,,,,,,3600,00776,PCAC HEALTH INFORMATION (36C776),f721482df9fe4d178d436c393e339f97,jacqueline.adekanbi@va.gov,jacqueline.adekanbi@va.gov,2025-08-12 14:03:30.737000+00:00,2025-08-12 14:01:57.841000+00:00,https://www.highergov.com/contract-opportunity/36C77624R0123-Presolicitation-39f97,https://sam.gov/opp/d40fb871b0844c479c40098af6e863e0/view
4232cc4c10dd421396cbe80fcd7db0e7,70Z03825QB0000133,MH-65 OIL PRESSURE SWITCH,"*Amendment 1 is to extend the Date Offers Due to Friday, August 29, 2025, at 9am EDT.*

This is a combined synopsis/solicitation for commercial items prepared in accordance with the format in FAR subpart 12.6 and part 13, as supplemented with additional information included in this notice. This announcement constitutes the only solicitation; quotations are being requested and a written solicitation will not be issued. Solicitation number 70Z03825QB0000133 is issued as a request for quotation (RFQ). This solicitation document and incorporated provisions and clauses are those in effect through Federal Acquisition Circular (FAC) 2025-05 Effective August 07, 2025.

The applicable North American Industry Classification Standard Code is 336413. The small business size standard is 1,250 employees. This is a restricted requirement. All responsible sources may submit a quotation which shall be considered by the agency.

It is anticipated that a firm-fixed price purchase order shall be awarded on a Sole Source basis to Spectrum Associates, INC. as a result of this synopsis/solicitation. All parts must have clear traceability to the Original Equipment Manufacturer (OEM), Spectrum Associates, INC (Cage Code: 55723). Traceability means a clear, complete, documented, and auditable paper trail which traces each step from an OEM approved source.

See attached documents titled:

&ldquo;Requirements &ndash; 70Z03825QB0000133,&rdquo;

&ldquo;Terms and Conditions &ndash; 70Z03825QB0000133&rdquo; and

&ldquo;Redacted J and A &ndash; 70Z03825QB0000133&rdquo;.

52.217-6 Option for Increased Quantity (MAR 1989) applies to this acquisition and is tailored as follows:

The Government may increase the quantity of supplies called for in the Schedule, for Line Item 1 by up to a quantity of Twenty Four (24), at the unit price specified, up to a maximum quantity of Thirty Six (36). The Contracting Officer may exercise the option by written notice to the Contractor within one calendar year after Purchase Order award. Delivery of the added items shall continue at the same rate as the like items call for under the Purchase Order, unless the parties otherwise agree.

***Please note that if the USCG chooses to exercise any optional quantity modification, such modifications will be issued unilaterally to the contractor.

(End of Clause)

It is the Government&#39;s belief that Spectrum Associates, INC. is the only known source to provide traceability and genuine OEM parts. Concerns having the expertise and required capabilities to provide these items are invited to submit offers in accordance with the requirements stipulated in this solicitation.

Parts must be approved in accordance with Federal Aviation Administration (FAA) guidelines to ensure safety of our aircrew. Best value to the Government is always the goal, but without jeopardizing quality or safety of flight. Only the use of airworthy commercial specifications or standard military specifications/military standard parts will be utilized and approved from this solicitation

Newly manufactured commercial items will only be procured from sources able to provide a Certificate of Conformance (COC). The Federal Aviation Regulation, Part 21, and Federal Acquisition Regulation (FAR) clause 52.246-15 outline these certification procedures.

NO SUBSTITUTE OR ALTERNATE PARTS WILL BE CONSIDERED. ONLY NEW PARTS WILL BE ACCEPTED.

NOTE: NO DRAWINGS, SPECIFICATIONS OR SCHEMATICS ARE AVAILABLE FROM THIS AGENCY.

Closing date and time for receipt of offers is 29 August 2025 at 9:00 am EDT. Quotes and questions shall be submitted by email to Selmary.MelendezGonzalez3@uscg.mil. Please indicate solicitation 70Z03825QB0000133 in the subject line. Phone call quotes WILL NOT be accepted.
",Aviation Logistics Center,2025-08-12 12:59:25.180000+00:00,2025-08-12,2025-08-29 13:00:00+00:00,2025-08-29,America/New_York,Synopsis Solicitation,8AN,336413,Other Aircraft Parts and Auxiliary Equipment Manufacturing ,5930,Switches,,Selmary Melendez,Selmary.MelendezGonzalez3@uscg.mil,,,,Raymond V. Marler,raymond.v.marler@uscg.mil,,,,,,,,,,,,,,,,,,,,7008,70Z038,AVIATION LOGISTICS CENTER (ALC)(000,0dfb6a54f6ab4678b970043ba988cc88,terrie.l.pickard@uscg.mil,selmary.melendezgonzalez3@uscg.mil,2025-08-12 12:59:25.186000+00:00,2025-08-12 12:48:26.471000+00:00,https://www.highergov.com/contract-opportunity/70Z03825QB0000133-Combined_Synopsis_Solicitation-8cc88,https://sam.gov/opp/4232cc4c10dd421396cbe80fcd7db0e7/view
