Notice ID,Solicitation ID,Solicitation Title,Description Text,Agency Name,Posted Timestamp,Posted Date,Response Timestamp,Response Deadline,Response Timezone,Opportunity Type,Set Aside Code,NAICS,NAICS Title,PSC,PSC Description,Primary Contact Title,Primary Contact Name,Primary Contact Email,Primary Contact Phone,Primary Contact Fax,Secondary Contact Title,Secondary Contact Name,Secondary Contact Email,Secondary Contact Phone,Secondary Contact Fax,Place of Performance Street Address,Place of Performance Street Address2,Place of Performance City,Place of Performance State,Place of Performance Zip,Place of Performance Country Code,Place of Performance Country,Related Opportunity Id,Award Date,Award Amount,Award Number,Delivery Order Number,Award Justification,Awardee Name,Awardee UEI,Awardee CAGE Code,Awardee Line Item,FPDS Code,FPDS Org ID,SAM Organization Name,Parent Opportunity ID,Modified By,Created By,Modified Timestamp,Created Timestamp,Site Page,Source Website
9c9f422e913d510982cb416d3a9ad5b2-re,RFQ1734140,"DHS CPB  Engineering, Technical and Logistical Support  Market Research","The Department of Homeland Security (DHS), through the General Services Administration (GSA), is seeking market research responses for a project aimed at enhancing the capabilities of Customs and Border Protection's (CBP) Air and Marine Operations (AMO). Under the authority granted by the Homeland Security Act of 2002, DHS is tasked with preventing terrorist attacks, reducing vulnerabilities to terrorism, and minimizing damage from such events within the United States. The AMO division plays a critical role in this mission by leveraging air and marine resources to deter, interdict, and investigate acts of terrorism and smuggling across U.S. borders.

The focus of this solicitation is on providing comprehensive engineering, technical, and logistical support for CBP's fleet of aircraft, which includes P-3 Orion aircraft acquired from the U.S. Navy as well as Bombardier DHC-8 and King Air 350ER Multi-Role Enforcement Aircraft. These aircraft are vital for conducting airborne law enforcement operations that include presidential protection, investigative assistance, airspace security operations at national venues, and interdiction missions targeting drugs and contraband entering the United States. The P-3s have been specifically modified into two configurations: Airborne Early Warning (AEW) variants for surveillance purposes and Long-Range Tracker (LRT) variants for interception missions.

The scope of work outlined in this solicitation encompasses a range of technical assistance services necessary to maintain optimal performance levels across CBP's aviation assets. This includes support for radar systems, optical equipment, communication systems, training on air vehicle operations and mission equipment usage, as well as repair services. Additionally, there is a need for modification services to keep these systems up-to-date with evolving threats. The project also involves maintaining ground station facilities that are crucial for avionics data development and providing depot-level technical support alongside thorough documentation services.

An essential component of this effort is ensuring robust satellite communications capabilities through PSC-SD tactical satellite radios to support AMO operations across various geographical locations including continental U.S., Puerto Rico, and the Virgin Islands. This capability is crucial for effective coordination during missions aimed at safeguarding national security interests.",Federal Acquisition Service,2024-11-20 00:00:00+00:00,2024-11-20,2024-12-03 17:00:00+00:00,2024-12-03,,Sources Sought,,541330,Engineering Services,,,,,,,,,,,,,FEDERAL ACQUISITION SERVICE,,Boston,MA,02222,,,,,,,,,,,,,,,,9c9f422e913d510982cb416d3a9ad5b2-re,,,,,https://www.highergov.com/contract-opportunity/r-RFQ1734140-re,https://www.ebuy.gsa.gov/ebuy/seller/prepare-quote/RFQ1734140?contractNumber=
aa7e3618414f48d8a1fb15ce3432894d,1305M225Q0014,NOAA P-3 Propeller Maintenance and Training,"P-3 Propeller Maintenance and Training. The vendor shall provide full service maintenance to include, but not limited to, inspection, repair, overhaul, scheduled and unscheduled maintenance, and training for the 54H60-77 propeller system.  The propeller system includes the prop control, valve housing, valve housing cover and brush block assembly.  ",Eastern Acquisition Division,2024-11-19 16:11:54.808000+00:00,2024-11-19,2024-12-10 19:30:00+00:00,2024-12-10,America/New_York,Synopsis Solicitation,SBA,336413,Other Aircraft Parts and Auxiliary Equipment Manufacturing ,J016,"Maintenance, Repair and Rebuilding of Equipment: Aircraft Components and Accessories",,"HARRIS, ALICHA",ALICHA.HARRIS@NOAA.GOV,,,,,,,,,,,,,,,,,,,,,,,,,1330,000WC,DEPT OF COMMERCE NOAA,aa7e3618414f48d8a1fb15ce3432894d,Alicha.harris@noaa.gov,Alicha.harris@noaa.gov,2024-12-26 05:00:05.808000+00:00,2024-11-19 16:11:54.044000+00:00,https://www.highergov.com/contract-opportunity/1305M225Q0014-Combined_Synopsis_Solicitation-2894d,https://sam.gov/opp/aa7e3618414f48d8a1fb15ce3432894d/view
1e50aca86bcd4a51a7ca5f6cea456275,80NSSC24876721Q,GNSS-Inertial instrument (AVX-210) unit,"**SOLE SOURCE REQUIREMENT**

GNSS-Inertial instrument (AVX-210) unit
",Shared Services Center,2024-08-12 13:47:14.230000+00:00,2024-08-12,2024-08-14 14:00:00+00:00,2024-08-14,America/Chicago,Special Notice,,334511,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing ",6695,Combination and Miscellaneous Instruments,,Tessa Martinez,tessa.m.martinez@nasa.gov,,,,,,,,,,Hampton,VA,23681,USA,UNITED STATES,,,,,,,,,,,8000,NSSC0,NASA SHARED SERVICES CENTER,1e50aca86bcd4a51a7ca5f6cea456275,tessa.m.martinez@nasa.gov,tessa.m.martinez@nasa.gov,2024-08-30 03:55:42.840000+00:00,2024-08-12 13:43:50.400000+00:00,https://www.highergov.com/contract-opportunity/80NSSC24876721Q-Special_Notice-56275,https://sam.gov/opp/1e50aca86bcd4a51a7ca5f6cea456275/view
1c3700a9bcda42d9bbef779f50679013,1305M224Q0265,Full P3 Equipment Overhaul and Repair Support Serv,"AOC requires a seven-year Indefinite Delivery-Indefinite Quantity (IDIQ) contract designed to provide service, repair, and replacement of parts that are required to keep the aircraft in an airworthy condition to the maximum extent practical.The Lockheed Martin WP-3D Orion aircraft were originally manufactured in the mid-1970s. The airframe is no longer in production and the original primary user, the United States Navy, no longer maintains a large fleet of serviceable P-3s. The availability of serviceable parts and part suppliers is expected to decline over the remaining service life of  NOAA P-3s, estimated to end in 2031. For this reason, NOAA AOC requires support services that directly maintain the operation of several aircraft parts. Access to ready to place in service Line Replaceable Units (LRUs) will reduce aircraft down time and allow NOAA to continue to meet its mission requirements over the span of these contracts.As WP-3D operations are considered to be a year-round, 24-hour operation, an ideal contractor would be within a short driving distance from the AOC Lakeland facilities (100 miles or less) in order to ensure that parts requirements can be met at any time of day, any time of year. Consistent quality of work is essential for aircraft readiness. ",Eastern Acquisition Division,2024-08-02 16:33:15.656000+00:00,2024-08-02,2024-08-16 19:00:00+00:00,2024-08-16,America/New_York,Synopsis Solicitation,SBA,488190,Other Support Activities for Air Transportation,J015,"Maintenance, Repair and Rebuilding of Equipment: Aircraft and Airframe Structural Components",,"PETERS, JENNIFER",JENNIFER.PETERS@NOAA.GOV,7574416475,,,,,,,,,,,,,,,,,,,,,,,,1330,000WC,DEPT OF COMMERCE NOAA,1c3700a9bcda42d9bbef779f50679013,jennifer.peters@noaa.gov,jennifer.peters@noaa.gov,2024-09-01 03:55:43.320000+00:00,2024-08-02 16:33:14.973000+00:00,https://www.highergov.com/contract-opportunity/1305M224Q0265-Combined_Synopsis_Solicitation-79013,https://sam.gov/opp/1c3700a9bcda42d9bbef779f50679013/view
386bec00017d4bc7a12a3be7bd6477ab,SPE4A724R0662,"SPE4A724R0662 1560- HARNESS ASSEMBLY / AIRCRAFT, ORION P-3","The Defense Logistics Agency is issuing this sources sought synopsis as a means of conducting market research to identify parties having an interest in and the resources to support this requirement for NSN: 1560-010236661, HARNESS ASSEMBLY. This item is currently identified as part number 962719-101. Potential sources shall be capable of furnishing all labor, materials, facilities and equipment required to accomplish the new manufacture of the item(s). Generally, this entails the procurement/manufacture of component parts, inspection, testing, preservation/packaging, and shipping. Additionally, potential sources may be responsible for supply chain management, logistics planning, forecasting production requirements, long-lead time parts procurement, diminishing manufacturing sources and material shortage issues, and shipping serviceable assets. The quantity needed is 14 each. The unit prices will be established at the time of a contract award. The result of this market research will contribute to determining the method of procurement. The applicable North American Industry Classification System (NAICS) code assigned to this procurement is 336413.



THERE IS NO SOLICITATION AT THIS TIME. This request for capability information does not constitute a request for proposals; submission of any information in response to this market survey is purely voluntary; the government assumes no financial responsibility for any costs incurred.



If your organization has the potential capacity to perform these contract services, please provide the following information: 1) Organization name, address, email address, Web site address, telephone number, and size and type of ownership for the organization; and 2) Tailored capability statements addressing the particulars of this effort, with appropriate documentation supporting claims of organizational and staff capability. If significant subcontracting or teaming is anticipated in order to deliver technical capability, organizations should address the administrative and management structure of such arrangements.



The government will evaluate market information to ascertain potential market capacity to 1) provide services consistent in scope and scale with those described in this notice and otherwise anticipated; 2) secure and apply the full range of corporate financial, human capital, and technical resources required to successfully perform similar requirements; 3) implement a successful project management plan that includes: compliance with tight program schedules; cost containment; meeting and tracking performance; hiring and retention of key personnel and risk mitigation; and 4) provide services under a performance based service acquisition contract.



BASED ON THE RESPONSES TO THIS SOURCES SOUGHT NOTICE/MARKET RESEARCH, THIS

REQUIREMENT MAY BE SET-ASIDE FOR SMALL BUSINESSES OR PROCURED THROUGH FULL AND

OPEN COMPETITION, and multiple awards MAY be made. Telephone inquiries will not be accepted or acknowledged, and no feedback or evaluations will be provided to companies regarding their submissions.



Submission Instructions: Interested parties who consider themselves qualified to perform the above-listed services are invited to submit a response to this Sources Sought Notice by June 3, 2024 3:00 pm eastern standard time. All responses under this Sources Sought Notice must be emailed to Lamar Olivier (lamar.olivier@dla.mil).



If you have any questions concerning this opportunity please contact: Lamar Olivier via email (lamar.olivier@dla.mil).
",DLA Aviation,2024-05-29 17:53:04.553000+00:00,2024-05-29,2024-06-03 19:00:00+00:00,2024-06-03,America/New_York,Sources Sought,,336413,Other Aircraft Parts and Auxiliary Equipment Manufacturing ,1560,Airframe Structural Components,,Lamar Olivier,lamar.olivier@dla.mil,804-279-2909,,,Robert Winchester,robert.winchester@dla.mil,8042796358,8042794439,,,Richmond,VA,23237,USA,UNITED STATES,,,,,,,,,,,97AS,SPE4A7,DLA AVIATION,386bec00017d4bc7a12a3be7bd6477ab,lamar.olivier@dla.mil,lamar.olivier@dla.mil,2024-06-19 03:55:43.726000+00:00,2024-05-29 17:48:47.992000+00:00,https://www.highergov.com/contract-opportunity/SPE4A724R0662-Sources_Sought-477ab,https://sam.gov/opp/386bec00017d4bc7a12a3be7bd6477ab/view
7ee86463668e4602b4900fb0791609ab,CBP-RFI-03272024-001,"RFI - MARITIME PATROL AIRCRAFT MAINTENANCE, LOGISTICAL AND ENGINEERING SERVICES","4/15/2024 update - The Government is adding RFI Vendors Questions and Answers document to the RFI posting.





REQUEST FOR INFORMATION


CBP-RFI-03272024-001


MARITIME PATROL AIRCRAFT MAINTENANCE, LOGISTIC AND ENGINERING
SUPPORT


SEE ATTACHMENT FOR DETAILS.
",CBP Office of Information and Technology,2024-04-15 16:53:53.684000+00:00,2024-04-15,2024-04-26 21:00:00+00:00,2024-04-26,America/New_York,Sources Sought,,336411,Aircraft Manufacturing ,J015,"Maintenance, Repair and Rebuilding of Equipment: Aircraft and Airframe Structural Components",,Bartek Chwalek,bartek.m.chwalek@cbp.dhs.gov,,,,Joquita Wheeler,joquita.m.wheeler@cbp.dhs.gov,,,,,,,,USA,UNITED STATES,,,,,,,,,,,7014,AMBTCD,AIR AND MARINE CTR DIV,43e39b4d27c14896ac1c3d4d2629fc2b,bartek.m.chwalek@cbp.dhs.gov,bartek.m.chwalek@cbp.dhs.gov,2024-05-12 03:55:46.519000+00:00,2024-04-15 16:49:27.986000+00:00,https://www.highergov.com/contract-opportunity/CBP-RFI-03272024-001-Sources_Sought-9fc2b,https://sam.gov/opp/7ee86463668e4602b4900fb0791609ab/view
799020e93de44148a191f0e61e19e67c,1333MK24Q0049,J--AOC P-3 Engine HRD Overhaul Requisition NOAAP30209,"The U.S. Department of Commerce (DOC), National Oceanic and Atmospheric Administration (NOAA), Aircraft Operations Center (AOC) at Lakeland Linder International Airport (KLAL), Lakeland, FL operates two WP-3D Orions, a Gulfstream GIV-SP, four De Havilland DHC-6-300 Twin Otters, and two Beechcraft King Air 350CERs in support of hurricane surveillance and scientific research. In an effort to keep NOAA’s WP-3D aircraft airworthy in accordance with the approved maintenance plan the aircraft Fire Extinguisher System requires periodic maintenance.  Specifically, the High Rate Discharge (HRD) Bottle requires overhaul and hydro testing every five years.  This requirement cannot be waived.  Currently, all four of aircraft N42RF’s engine HRD bottles are due for overhaul or replacement.  Since the cost of overhaul is much cheaper ($7.2K ea.) than replacing the bottles ($35K ea.) it is desirable to have them overhauled. The overhaul must include hydro static testing, refilling the bottle and certifying the work performed.  All work must be performed in accordance with applicable maintenance manuals.  If the HRD bottle is overhauled the contractor shall replace all parts necessary to accomplish the overhaul with factory new OEM parts or FAA-PMA equivalent components and return the HRD bottle to service. The contractor shall provide all replacement parts, materials, and consumables.The work performed shall be documented on an FAA 8130-3, Certificate of Conformance or equivalent.  All work records and documents shall accompany each HRD bottle during shipment.  The cost of shipping the four HRD bottles to the selected contractor facility shall be the responsibility of the Government.  Shipping to return the HRD bottles to AOC’s aircraft support vendor shall be the responsibility of the Government.",Office of Marine & Aviation Operations,2024-04-08 18:40:19.776000+00:00,2024-04-08,,,,Award Notice,,336413,Other Aircraft Parts and Auxiliary Equipment Manufacturing ,J016,"Maintenance, Repair and Rebuilding of Equipment: Aircraft Components and Accessories",,"BAKER, CHRISTOPHER",CHRISTOPHER.BAKER@NOAA.GOV,7573170683,,,,,,,,,,,,,,11be9a5fddbf46bb9a70481d98313ee7,2024-04-08,28572.0,1333MK24P0070,,,"HRD AERO SYSTEMS, INC.",K1MJEUDZ2KU5,1DH10,,1330,WE133M,DEPT OF COMMERCE NOAA,799020e93de44148a191f0e61e19e67c,christopher.baker@noaa.gov,christopher.baker@noaa.gov,2024-04-24 03:55:47.741000+00:00,2024-04-08 18:40:19.335000+00:00,"https://www.highergov.com/contract-opportunity/1333MK24Q0049-Award_Notice-HRD_AERO_SYSTEMS,_INC.-9e67c",https://sam.gov/opp/799020e93de44148a191f0e61e19e67c/view
11be9a5fddbf46bb9a70481d98313ee7,1333MK24Q0049,AOC P-3 Engine HRD Overhaul Requisition NOAAP30209,"The U.S. Department of Commerce (DOC), National Oceanic and Atmospheric Administration (NOAA), Aircraft Operations Center (AOC) at Lakeland Linder International Airport (KLAL), Lakeland, FL operates two WP-3D Orions, a Gulfstream GIV-SP, four De Havilland DHC-6-300 Twin Otters, and two Beechcraft King Air 350CERs in support of hurricane surveillance and scientific research. In an effort to keep NOAA’s WP-3D aircraft airworthy in accordance with the approved maintenance plan the aircraft Fire Extinguisher System requires periodic maintenance.  Specifically, the High Rate Discharge (HRD) Bottle requires overhaul and hydro testing every five years.  This requirement cannot be waived.  Currently, all four of aircraft N42RF’s engine HRD bottles are due for overhaul or replacement.  Since the cost of overhaul is much cheaper ($7.2K ea.) than replacing the bottles ($35K ea.) it is desirable to have them overhauled. The overhaul must include hydro static testing, refilling the bottle and certifying the work performed.  All work must be performed in accordance with applicable maintenance manuals.  If the HRD bottle is overhauled the contractor shall replace all parts necessary to accomplish the overhaul with factory new OEM parts or FAA-PMA equivalent components and return the HRD bottle to service. The contractor shall provide all replacement parts, materials, and consumables.The work performed shall be documented on an FAA 8130-3, Certificate of Conformance or equivalent.  All work records and documents shall accompany each HRD bottle during shipment.  The cost of shipping the four HRD bottles to the selected contractor facility shall be the responsibility of the Government.  Shipping to return the HRD bottles to AOC’s aircraft support vendor shall be the responsibility of the Government.",Office of Marine & Aviation Operations,2024-03-22 20:34:40.748000+00:00,2024-03-22,2024-03-29 02:00:00+00:00,2024-03-28,America/New_York,Solicitation,SBA,336413,Other Aircraft Parts and Auxiliary Equipment Manufacturing ,J016,"Maintenance, Repair and Rebuilding of Equipment: Aircraft Components and Accessories",,"BAKER, CHRISTOPHER",CHRISTOPHER.BAKER@NOAA.GOV,7573170683,,,,,,,,,,United s,FL,,,,,,,,,,,,,1330,WE133M,DEPT OF COMMERCE NOAA,11be9a5fddbf46bb9a70481d98313ee7,christopher.baker@noaa.gov,christopher.baker@noaa.gov,2024-04-13 03:55:47.582000+00:00,2024-03-22 20:34:39.913000+00:00,https://www.highergov.com/contract-opportunity/1333MK24Q0049-Solicitation-13ee7,https://sam.gov/opp/11be9a5fddbf46bb9a70481d98313ee7/view
1612499b60704a99bc1e802c23f810b1,CBP-RFI-05012023-001,"RFI - MARITIME PATROL AIRCRAFT MAINTENANCE, LOGISTIC AND ENGINERING SUPPORT","05/24/2023 Update - US CBP is providing an updated answer to RFI vendor question #5. 



05/22/2023 Update - US CBP is providing answers to RFI vendor questions received. 



REQUEST FOR INFORMATION

CBP-RFI-05012023-001

MARITIME PATROL AIRCRAFT MAINTENANCE, LOGISTIC AND ENGINERING SUPPORT



SEE ATTACHMENT FOR DETAILS.
",CBP Office of Information and Technology,2023-05-24 13:50:45.071000+00:00,2023-05-24,2023-05-31 21:00:00+00:00,2023-05-31,America/New_York,Sources Sought,,336411,Aircraft Manufacturing ,J015,"Maintenance, Repair and Rebuilding of Equipment: Aircraft and Airframe Structural Components",,Bartek Chwalek,bartek.m.chwalek@cbp.dhs.gov,,,,Joquita Wheeler,joquita.m.wheeler@cbp.dhs.gov,,,,,,,,USA,,,,,,,,,,,,7014,AMBTCD,AIR AND MARINE CTR DIV,625d91f441dd450f967cf37722c0d9be,bartek.m.chwalek@cbp.dhs.gov,bartek.m.chwalek@cbp.dhs.gov,2023-06-16 03:59:04.701000+00:00,2023-05-24 13:48:18.459000+00:00,https://www.highergov.com/contract-opportunity/CBP-RFI-05012023-001-Sources_Sought-0d9be,https://sam.gov/opp/1612499b60704a99bc1e802c23f810b1/view
7efcb014b3c04b0eba86f9e31b8a542b,N6893617C0052,Sole Source Bridge Action for Naval Test Wing Pacific Organizational Level Maintenance Contract,"DynCorp International, LLC, Fort Worth, Texas, is awarded a firm-fixed-price, cost-plus-fixed-fee modification (P00080) to a previously awarded contract (N6893617C0052).  This modification extends the period of performance for four months to continue aircraft maintenance, modification and aircrew support to include organizational-level aircraft maintenance and logistics support on aircraft, systems/subsystems aircrew systems, search-and-rescue equipment, and support equipment for P-3 Orion, C-130 Hercules, E-2D Hawkeye, F/A-18 Hornet, F/A-18 Super Hornet, E/A-18 Growler, AV-8B Harrier II, and H-60 Sea Hawk in support of the Naval Test Wing Atlantic.  Contract performance is at China Lake, CA and Point Mugu, CA.
",Naval Air Warfare Centers,2023-05-03 19:43:36.364000+00:00,2023-05-03,,,,Award Notice,,488190,Other Support Activities for Air Transportation,J015,"Maintenance, Repair and Rebuilding of Equipment: Aircraft and Airframe Structural Components",,Juliana Luna,juliana.luna.civ@us.navy.mil,7607933970,,,KATY WHITE,katy.j.white.civ@us.navy.mil,7607934394,,,,China Lake,CA,,,,,2023-04-27,20671223.00,N6893617C0052,,,DYNCORP INTERNATIONAL LLC,ML6KL68PHMK3,1SMB2,,1700,N68936,NAVAL AIR WARFARE CENTER,7efcb014b3c04b0eba86f9e31b8a542b,daniel.cooley1@navy.mil,daniel.cooley1@navy.mil,2024-05-04 03:55:46.979000+00:00,2023-05-03 19:24:24.685000+00:00,https://www.highergov.com/contract-opportunity/N6893617C0052-Award_Notice-DYNCORP_INTERNATIONAL_LLC-a542b,https://sam.gov/opp/7efcb014b3c04b0eba86f9e31b8a542b/view
