Notice ID,Solicitation ID,Solicitation Title,Description Text,Agency Name,Posted Timestamp,Posted Date,Response Timestamp,Response Deadline,Response Timezone,Opportunity Type,Set Aside Code,NAICS,NAICS Title,PSC,PSC Description,Primary Contact Title,Primary Contact Name,Primary Contact Email,Primary Contact Phone,Primary Contact Fax,Secondary Contact Title,Secondary Contact Name,Secondary Contact Email,Secondary Contact Phone,Secondary Contact Fax,Place of Performance Street Address,Place of Performance Street Address2,Place of Performance City,Place of Performance State,Place of Performance Zip,Place of Performance Country Code,Place of Performance Country,Related Opportunity Id,Award Date,Award Amount,Award Number,Delivery Order Number,Award Justification,Awardee Name,Awardee UEI,Awardee CAGE Code,Awardee Line Item,FPDS Code,FPDS Org ID,SAM Organization Name,Parent Opportunity ID,Modified By,Created By,Modified Timestamp,Created Timestamp,Site Page,Source Website
2ec5acfca9df411bb4d7e305428a994e,N6449825QJN0244,Repair 2 CG-47 class Bleed Air Regulator Valve Overhaul,"DESCRIPTION:  The Naval Surface Warfare Center Philadelphia Division (NSWCPD) intends to issue a competitive solicitation for engineering and technical services required to repair two (2) Bleed Air regulator valves.  Please refer to the RFQ for the full details.

Disclaimer: This pre-solicitation notice is for information only and shall not be construed as a commitment by the Government to solicit contractual offers or award contracts. The Government is not soliciting, nor will it accept, proposals as a result of this synopsis. If a competitive solicitation is issued in the future, it will be announced via FEDBIZOPPS, and interested parties must comply with that announcement. The Government will not reimburse respondents for any questions submitted or information provided as a result of this notice. This is not a solicitation or a promise to issue a solicitation, and this information is subject to modification and in no way binds the Government to award a contract.
",NSWC Philadelphia Division,2025-08-11 22:03:11.968000+00:00,2025-08-11,2025-08-21 19:00:00+00:00,2025-08-21,America/New_York,Synopsis Solicitation,,541330,Engineering Services,R425,Engineering and Technical Services,,John M. Ngov,john.ngov@navy.mil,2158972515,,,,,,,,,Philadelphia,PA,19112,USA,UNITED STATES,,,,,,,,,,,1700,N64498,NSWC PHILADELPHIA DIV,2ec5acfca9df411bb4d7e305428a994e,john.m.ngov.civ@us.navy.mil,john.m.ngov.civ@us.navy.mil,2025-08-11 22:03:11.970000+00:00,2025-08-11 21:47:09.611000+00:00,https://www.highergov.com/contract-opportunity/N6449825QJN0244-Combined_Synopsis_Solicitation-a994e,https://sam.gov/opp/2ec5acfca9df411bb4d7e305428a994e/view
81f325b90e7f421baf96cde4579ee625,SPRPA125QEP94,"COMPUTER,FLIGHT CON","HIGHER-LEVEL CONTRACT QUALITY REQUIREMENT|8|||X|ISO 9001 OR EQUIVALENT |||||
FMS DELIVERY AND SHIPPING INSTRUCTIONS|3||TBD|TBD|
WIDE AREA WORKFLOW PAYMENT INSTRUCTIONS (JAN 2023)|16|INVOICE AND RECEIVING REPORTS (COMBO)||HQ0337|SPRPA1|TBD|TBD|SEE SCHEDULE|N/A|||||||||
CERTIFICATION REGARDING KNOWLEDGE OF CHILD LABOR FOR LISTED END PRODUCTS (FEB 2021))|4|||||
ANNUAL REPRESENTATIONS AND CERTIFICATIONS (MAR 2025)(DEVIATION 2025-O0003 AND 2025-O0004))|12|334511|1350|||||||||||
Can only be procured only from suppliers who provide FAA-Certified parts which possess a FAA Authorized Release Certificate, FAA Form 8130-3 Airworthy Approval Tag.
This Solicitation is being issued under EAF Authority formally known as SEPA.
For items for which Government inspection and acceptance will be conducted atthe source, DLAD clause 52.E-9004, Product Verification Testing, isincorporated by reference. DLAD clauses can be viewed at
http://www.dla.mil/Acquisition/Pages/DLAD.aspx.
As applicable, DFARS clause 252.242-7005, Contractor Business Systems, isincorporated by reference.
Drawings are not available for this Request For Quote.
Offerors are advised that offers received from sources which are notgovernment-approved sources of supply will be deemed technically unacceptable, and therefore ineligible for award. Any distributors of approved sources MUST submit a copy of their authorized
distributor letter,on the source letterhead, to the buyer point of contact indicated on the solicitation via email, at time of proposal submittal.
All potential offers shall provide newly manufactured spares only.
Refurbished, remanufactured, or repaired material will not be acceptable.
Offers for such are ineligible for award.
Quotes/proposals received from sources which are not Government-approvedsources of supply will be deemed technically unacceptable, and thereforeineligible for award.
Quotes/proposals from dealers/distributors for government approved source(s)MUST submit a copy of their authorized distributor letter (on the actualmanufacturers letterhead) to the buyer/point of contact indicated on thesolicitation via email, at time of
quote/proposal submittal.
\
",DLA Aviation,2025-08-04 10:41:03.986000+00:00,2025-08-04,2025-08-12 20:30:00+00:00,2025-08-12,America/New_York,Solicitation,,334511,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing ",6615,Automatic Pilot Mechanisms and Airborne Gyro Components,,Telephone: 2157377175,ALEIDA.MARTE@DLA.MIL,,,,,,,,,,,,,,,,,,,,,,,,,97AS,SPRPA1,"DLA AVIATION AT PHILADELPHIA, PA",81f325b90e7f421baf96cde4579ee625,ALEIDA.MARTE@DLA.MIL,ALEIDA.MARTE@DLA.MIL,2025-08-04 10:41:03.986000+00:00,2025-08-04 10:41:03.944000+00:00,https://www.highergov.com/contract-opportunity/SPRPA125QEP94-Solicitation-ee625,https://sam.gov/opp/81f325b90e7f421baf96cde4579ee625/view
