Notice ID,Solicitation ID,Solicitation Title,Description Text,Agency Name,Posted Timestamp,Posted Date,Response Timestamp,Response Deadline,Response Timezone,Opportunity Type,Set Aside Code,NAICS,NAICS Title,PSC,PSC Description,Primary Contact Title,Primary Contact Name,Primary Contact Email,Primary Contact Phone,Primary Contact Fax,Secondary Contact Title,Secondary Contact Name,Secondary Contact Email,Secondary Contact Phone,Secondary Contact Fax,Place of Performance Street Address,Place of Performance Street Address2,Place of Performance City,Place of Performance State,Place of Performance Zip,Place of Performance Country Code,Place of Performance Country,Related Opportunity Id,Award Date,Award Amount,Award Number,Delivery Order Number,Award Justification,Awardee Name,Awardee UEI,Awardee CAGE Code,Awardee Line Item,FPDS Code,FPDS Org ID,SAM Organization Name,Parent Opportunity ID,Modified By,Created By,Modified Timestamp,Created Timestamp,Site Page,Source Website
8a38963e8b9046788b04a5c22282a968,N00383-25-Q-0066,N00383-25-Q-0066,"NAVSUP Weapon Systems Support (NAVSUP WSS) Philadelphia intends to solicit on a sole source basis for the FMS Repair of Items Below:



NOMENCLATURE: PANEL, FUEL MANAGEME

NSN: 7RH 6610 014728724

PART NUMBER: 30108-04

PLATFORM: KC130-J System

QTY: 2



All responsible sources may submit a capability statement, proposal, or quotation, which shall be considered by the agency.



The Government intends to solicit and negotiate with Only One Responsible Source and No Other Supplies or Services Will Satisfy Agency Requirements. Source Authority:  10 U.S.C. 2304(c)(1), as supplemented by FAR 6.302-1.



Source Approval Statement applies to this NSN.  The approved sources for this material are listed above and it is expected that award will be made to this firm.  Any firm which is not already approved to manufacture this material must submit a Source Approval Request, SAR.  This procurement will not be delayed to wait for a SAR approval.

This notice of intent is not a request for competitive proposals.  However, all proposals received within 15 DAYS after date of publication of this synopsis will be considered by the Government. Information received will normally be considered solely for the purpose of determining whether to conduct a competitive procurement.

This procurement is not a Total Small Business Set-Aside.



Electronic procedures will be used for this solicitation.  The approximate issue date for the Solicitation will be August 27, &lrm;2025.  No telephone requests will be honored and no hard copies will be mailed out.



Interested organizations may submit their capabilities and qualifications to perform the effort by email to the NAVSUP WSS N7 Contract Specialist, Amanda Sweeney (amanda.m.sweeney4.civ@us.navy.mil).
",Naval Supply Systems Command,2025-08-12 16:09:08.687000+00:00,2025-08-12,2025-08-27 20:00:00+00:00,2025-08-27,America/New_York,Presolicitation,,336413,Other Aircraft Parts and Auxiliary Equipment Manufacturing ,6610,Flight Instruments,,"AMANDA M. SWEENEY, N731.46, PHONE (215)697-2198, EMAIL AMANDA.SWEENEY@NAVY.MIL",AMANDA.SWEENEY@NAVY.MIL,,,,,,,,,,,,,,,,,,,,,,,,,1700,N00383,NAVSUP WEAPON SYSTEMS SUPPORT,8a38963e8b9046788b04a5c22282a968,amanda.m.sweeney4.civ@us.navy.mil,amanda.m.sweeney4.civ@us.navy.mil,2025-08-12 16:09:08.691000+00:00,2025-08-12 16:06:04.534000+00:00,https://www.highergov.com/contract-opportunity/N00383-25-Q-0066-Presolicitation-2a968,https://sam.gov/opp/8a38963e8b9046788b04a5c22282a968/view
5d27eedfb30b4b7a8e1e91b10c359664,N6660425Q0618,C2 Robotics Speartooth LUUV,"PLEASE READ THIS ENTIRE NOTICE CAREFULLY AS IT CONSTITUTES THE ONLY NOTICE THAT WILL BE ISSUED.

This is a combined synopsis and solicitation for commercial items prepared in accordance with the format in FAR Subpart 12.6-Streamlined Procedures for Evaluation and Solicitation for Commercial Items, as supplemented with additional information included in this notice. This announcement constitutes the only solicitation; quotations are being requested and a written solicitation will not be issued.

This procurement is intended as a sole source requirement to C2 Robotics Pty, Ltd (CAGE Code: Z1EQ2). C2 Robotics is the original equipment manufacturer (OEM) for these LUUVs. Speartooth is the only AUV built that meets the Government&rsquo;s needs for design and size specifications, and testing Navy applications, several of which involve underwater delivery of ordinance and other kinetic effects. There is no other form, fit function replacement for this item. In addition, designing an alternative to meet the Government&rsquo;s need would create an unacceptable schedule slip.

This solicitation is not a request for competitive quotes. However, all quotes received by the closing date will be considered by the Government for future requirements. A determination not to compete this proposed requirement based on responses to this solicitation is solely within the discretion of the Government. Quotes received will normally be considered solely for the purposes of determining whether to conduct a competitive procurement in the future.

Request for Quote (RFQ) Number is N66604-25-Q-0359. This requirement is being solicited on an unrestricted basis as concurred with by Naval Undersea Warfare Center Division, Newport (NUWCDIVNPT) Office of Small Business Programs (OSPB). The North American Industry Classification System (NAICS) Code for this acquisition is 334511; the Small Business Size Standard is 1,350 employees.

The Naval Undersea Warfare Center Division Newport (NUWCDIVNPT) intends to award a Firm Fixed Price Type purchase order for the below items:

CLIN 0001: Quantity of three (3) C2 Robotics Speartooth LUUVs, 11M Variant in accordance with the minimum requirements document.

CLIN 0002: Quantity of two (2) C2 Robotics Speartooth Spares packages, in accordance with the minimum requirements document.

CLIN 0003: Quantity of forty (40) Additional Batteries with BMS (per 5 KWh pack).

Delivery is F.O.B. Destination to Newport, RI 02841. Delivery must be within four months after receipt of order. Please include any applicable shipping charges for F.O.B. Destination in the unit prices.

The quote submission shall include a breakdown to include the following elements of price, at a minimum:


	Direct labor
	Direct Material
	Other Direct Costs
	Indirect costs (OH, Fringe, G&amp;A, material handling, etc)
	Profit
	Objective quality evidence including quotes, payroll journals, audits of indirect rates, basis of material lists, etc. to support the reasonability of the proposed price elements


Incorporated provisions and clauses are those in effect through the latest Federal Acquisition Circular. The following FAR clauses and provisions apply to this solicitation:

52.204-13 System for Award Management Maintenance.

52.204-18 Commercial and Government Entity Code Maintenance.

52.204-19 Incorporation by Reference of Representations and Certifications.

52.204-21 Basic Safeguarding of Covered Contractor Information Systems.

52.204-24 Representation Regarding Certain Telecommunications and Video Surveillance Services or Equipment

52.204-25 Prohibition on Contracting for Certain Telecommunications and Video Surveillance Service or Equipment

52.209-11, Representation by corporations Regarding Delinquent Tax 

52.212-1, Instructions to Offerors Commercial Items 

52.212-3, Offeror Representations and Certifications Commercial Items

52.212-4, Contract Terms and Conditions Commercial Items

52.212-5, Contract Terms and Conditions Required to Implement Statues or Executive Orders Commercial Items (DEVIATION 2025-O0003 and 2025-O0004) 

The following DFARS clauses apply to this solicitation:

252.203-7000 Requirements Relating to Compensation of Former DoD Officials.

252.203-7002 Requirement to Inform Employees of Whistleblower Rights

252.204-7003 Control of Government Personnel Work Product.

252.204-7008, Compliance with Safeguarding Covered Defense Information Controls

252.204-7009, Limitations on the Use or Disclosure of Third-Party Contractor Reported Cyber Incident Information,

252.204-7012, Safeguarding Covered Defense Information and Cyber Incident Reporting (DEVIATION 2024-O0013, Revision 1)

252.204-7019 Notice of NIST SP 800-171 DoD Assessment Requirements,

252.204-7020 NIST SP 800-171 DoD Assessment Requirements,

252.204-7024 Notice on the Use of the Supplier Performance Risk System

252.211-7003 Item Identification and Valuation 

252.215-7013 Supplies and Services Provided by Nontraditional Defense Contractors

252.232-7010 Levies on Contract Payments.

252.246-7008 Sources of Electronic Parts

252.247-7023 Transportation of Supplies by Sea.

Full text of incorporated FAR/DFARS clauses and provisions are available at www.acquisition.gov/far 



The following additional terms and conditions apply:

In accordance with DFARS Clause 252.211-7003, the contractor shall provide a unique item identifier (UID) for all delivered items for which the Government&rsquo;s unit acquisition cost is $5,000.00 or more.

The method of payment is via Electronic Payment through Wide Area Workflow (WAWF).

This solicitation requires registration with the System for Award Management (SAM) prior to award, pursuant to applicable regulations and guidelines. Registration information can be found at www.sam.gov 

Offerors shall include the following information with submissions:

(1) Quote the required items, in the required quantities;

(2) Provide proof that all items are shipped from the US, drop shipping is unacceptable;

(3) Point of Contact (including name, phone number and email address); and,

(4) Contractor CAGE Code. The Government will consider past performance information, where negative information within Supplier Performance Risk System (SPRS) may render a quote being deemed technically unacceptable.

The quote shall include price, delivery terms, and the following additional information with submission: point of contact (including phone number and email address), contractor cage code, and contractor Unique Entity ID. A quote received after the closing date and time specified may be ineligible for award. 

The quote may be submitted via email to the email address below and must be received on or before Tuesday, 19 August 2025 at 1400 eastern time. Offer received after the closing date are considered to be late and may not be considered for award. For information on this acquisition, contact Franklin Patton at franklin.k.patton2.civ@us.navy.mil. 
",NUWC Newport Division,2025-08-12 16:06:53.104000+00:00,2025-08-12,2025-08-19 18:00:00+00:00,2025-08-19,America/New_York,Synopsis Solicitation,,334511,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing ",2090,Miscellaneous Ship and Marine Equipment,,Franklin Patton,franklin.k.patton2.civ@us.navy.mil,4018326525,,,,,,,,,,,,,,,,,,,,,,,,1700,N66604,NUWC DIV NEWPORT,5d27eedfb30b4b7a8e1e91b10c359664,franklin.k.patton2.civ@us.navy.mil,franklin.k.patton2.civ@us.navy.mil,2025-08-12 16:06:53.108000+00:00,2025-08-12 16:02:28.971000+00:00,https://www.highergov.com/contract-opportunity/N6660425Q0618-Combined_Synopsis_Solicitation-59664,https://sam.gov/opp/5d27eedfb30b4b7a8e1e91b10c359664/view
6319be8eb96c4685979a19b1157218ee,N0016425Q0792,SOLE SOURCE – IMA’S,"JUSTIFICATION
",NSWC Crane Division,2025-08-12 15:50:25.059000+00:00,2025-08-12,,,,Justification,,334511,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing ",5985,"Antennas, Waveguide, and Related Equipment",,Morgan Helton,morgan.m.helton.civ@us.navy.mil,,,,,,,,,,,,,,,a820559f91ca4e3bb76d55b66c9a4e61,2025-09-01,,TBD,,far1,,,,,1700,N00164,NSWC CRANE,6319be8eb96c4685979a19b1157218ee,summer.d.moore.ctr@us.navy.mil,summer.d.moore.ctr@us.navy.mil,2025-08-12 15:50:25.064000+00:00,2025-08-12 15:47:34.163000+00:00,https://www.highergov.com/contract-opportunity/N0016425Q0792-Justification-218ee,https://sam.gov/opp/6319be8eb96c4685979a19b1157218ee/view
a820559f91ca4e3bb76d55b66c9a4e61,N0016425Q0792,SOLE SOURCE – IMA’S,"N00164-25-Q-0792 &ndash; SOLE SOURCE &ndash; IMA&rsquo;S &ndash; FSG 5985 - NAICS 334511

ISSUE DATE 12 Aug 2025 &ndash; CLOSING DATE 19 Aug 2025 &ndash; 11:00 AM Eastern Time

Naval Surface Warfare Center (NSWC) Crane has a requirement for quantity 14 Integrated Microwave Assemblies (IMA) in accordance with drawings and a statement of work. 

The proposed contract action is for the supplies or services for which the Government intends to solicit and negotiate with one source, CAES MISSION SYSTEMS LLC 10 Sonar DR., Woburn, Massachusetts 01801, under the authority of FAR 13.106-1. This is being sole sourced because The CAES IMAs were the only ones tested, qualified, and approved for use on the EA- 18G aircraft for the WRA 1-4 assemblies. Another firm could possibly develop this technology but these efforts would take approximately 18 months and is cost the government to validate and qualify for use in tactical jamming aircraft. All responsible sources may submit a capability statement, which shall be considered by the agency. However, a determination by the

Government not to compete with this proposed contract based upon responses to this solicitation is solely within the discretion of the Government. Information received will normally be considered solely for the purpose of determining whether to conduct a competitive procurement. 

Contractors must be properly registered in the System for Award Management (SAM). Offerors may obtain information on SAM registration and annual confirmation requirements by calling 866-606-8220 or via the internet at https://sam.gov. 

Contractors must be properly registered in the System for Award Management (SAM) and the Joint Certification Program (JCP) in order to receive the controlled attachments. Offerors may obtain information on SAM registration and annual confirmation requirements by calling 866-606-8220 or via https://sam.gov. Information about the JCP is located at https://public.logisticsinformationservice.dla.mil/PublicHome/jcp/default.aspx.  The controlled attachments will be posted at the same time the solicitation is posted. 

This solicitation is being issued pursuant to the procedures at FAR Part 13.  Synopsis exception FAR 5.202(a)(13) applies and Solicitation Number N00164-25-Q-0792 is hereby issued as an attachment hereto.  

Contract Opportunities on https://sam.gov/ has officially replaced FBO.gov

All changes to the requirement that occur prior to the closing date will be posted to Contract Opportunities on https://sam.gov/.  It is the responsibility of interested vendors to monitor https://sam.gov/ for any amendments, which may be issued to this solicitation.  

For changes made after the closing date, only those offerors that provide a quote will be provided any changes/amendments and considered for future discussions and/or award.

Offers shall be e-mailed to morgan.m.helton.civ@us.navy.mil.    All required information must be

received on or before 19 Aug 2025 &ndash; 11:00 AM Eastern Time
",NSWC Crane Division,2025-08-12 15:46:28.370000+00:00,2025-08-12,2025-08-19 15:00:00+00:00,2025-08-19,America/New_York,Synopsis Solicitation,,334511,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing ",5985,"Antennas, Waveguide, and Related Equipment",,Morgan Helton,morgan.m.helton.civ@us.navy.mil,,,,,,,,,,,,,,,,,,,,,,,,,1700,N00164,NSWC CRANE,a820559f91ca4e3bb76d55b66c9a4e61,summer.d.moore.ctr@us.navy.mil,summer.d.moore.ctr@us.navy.mil,2025-08-12 15:46:28.375000+00:00,2025-08-12 15:16:52.827000+00:00,https://www.highergov.com/contract-opportunity/N0016425Q0792-Combined_Synopsis_Solicitation-a4e61,https://sam.gov/opp/a820559f91ca4e3bb76d55b66c9a4e61/view
97352ef007e147438d5880da7f493add,80JSC026RGNC4,GN&C IV Follow-On,"The Aeroscience and Flight Mechanics Division (AFMD) of the National Aeronautics and Space Administration (NASA) Lyndon B. Johnson Space Center (JSC) is seeking contractor support for the attached Statement of Work supporting engineering design, development, integration, test, analysis, verification and validation, certification, and spaceflight support activities within the areas of Guidance Navigation &amp; Control (GN&amp;C) systems, integrated avionics systems, and autonomous flight operations. The work is currently being performed by The Charles Stark Draper Laboratory, Inc (Draper) of Cambridge, MA. NASA is interested in hearing from any other qualified source that may be able to provide these services, particularly small businesses of any socioeconomic category. Any qualified source that is interested in potentially bidding on this opportunity must submit a capabilities statement identifying its core competencies related to this SOW along with at least one past performance reference that indicates successful performance of similar work within the last five years. A relevant corporate example would be performing similar work at a similar complexity of a contract with a value greater than $30M. If no qualified sources are identified, the Government intends to award this procurement on a sole-source basis to Draper.  The response shall include the contract number, general scope description, contract value, and period of performance at a minimum. 
",Johnson Space Center,2025-08-12 15:23:10.731000+00:00,2025-08-12,2025-08-26 17:00:00+00:00,2025-08-26,America/Chicago,Sources Sought,,541330,Engineering Services,B599,Other Special Studies and Analysis,,Jonathan Anzures,jonathan.anzures@nasa.gov,,,,Maya Evans,maya.e.evans@nasa.gov,,,,,Houston,TX,77058,USA,UNITED STATES,,,,,,,,,,,8000,JSC00,NASA JOHNSON SPACE CENTER,97352ef007e147438d5880da7f493add,maya.e.evans@nasa.gov,maya.e.evans@nasa.gov,2025-08-12 15:23:10.736000+00:00,2025-08-12 15:04:16.196000+00:00,https://www.highergov.com/contract-opportunity/80JSC026RGNC4-Sources_Sought-93add,https://sam.gov/opp/97352ef007e147438d5880da7f493add/view
77795ab818364295913909bd2b302c12,70Z03825QJ0000413,Mount Assy,"NOTICE OF INTENT TO AWARD A SOLE SOURCE BOA CALL: The United States Coast Guard (USCG), Aviation Logistics Center (ALC), Medium Range Recovery (MRR) Procurement Division intends to solicit and negotiate with only one source, the Original Equipment Manufacturer (OEM) &ndash; Sikorsky Aircraft Corporation (Cage Code 78286), under Basic Ordering Agreement SPE4A1-22-G-0005 for the items listed in Attachment 1. In accordance with FAR 13.106-1 (b)(1), the items listed in Attachment 1 are available from only one source. The North American Industry Classification System Code (NAICS) is 336413 with a size standard of 1,250 Employees. The Product Service Code (PSC) is 1560. The small business set aside has been dissolved. This requirement is unrestricted. Delivery is requested within one hundred and seventy-four (174) days after the receipt of order (ARO). The USCG desires early deliveries therefore early shipments are encouraged at no additional cost to the Government. F.O.B. point is Origin.  Inspection and Acceptance under this contract will be performed at origin by Defense Contract Management Agency (DCMA). Solicitation number 70Z03825QJ0000413 is assigned for tracking purposes only. No solicitation package will be issued. This notice of intent is not a request for competitive proposals; however, all responsible sources may submit a quotation to Cindy.K.Harmes@uscg.mil and mrr-procurement@uscg.mil with 70Z03825QJ0000413 in the subject line which will be considered by the agency if received no later than 2:00 P.M., (EDT) on 10 September, 2025. A determination by the Government not to compete the proposed procurement based upon the responses to this notice is solely within the discretion of the Government. Award will be made upon determination of fair and reasonable pricing.


	See Attachment 1 &ndash; &ldquo;List of Items - 70Z03825QJ0000413&rdquo;
	See Attachment 2 &ndash; &ldquo;Redacted J and A &ndash; 70Z03825QJ0000413&rdquo;


System updates may lag policy updates. The System for Award Management (SAM) may continue to require entities to complete representations based on provisions that are not included in agency solicitations. Examples include 52.222-25, Affirmative Action Compliance, and paragraph (d) of 52.212-3, 52.223-22, Public Disclosure of Greenhouse Gas Emissions and Reduction Goals&mdash;Representation, and Offeror Representations and Certifications&mdash;Commercial Products and Commercial Services, including paragraph (t). Additional examples include 52.212-5, Contract Terms and Conditions Required To Implement Statutes or Executive Orders&mdash;Commercial Products and Commercial Services, and 52.213-4, Terms and Conditions&mdash;Simplified Acquisitions (Other Than Commercial Products and Commercial Services).

Contracting officers will not consider the following representations when making award decisions or enforcing requirements:

&middot; Paragraph (d) and (t) of 52.212-3, Offeror Representations and Certifications&mdash;Commercial Products and Commercial Services

&middot; Paragraphs (b)(33), (b)(34), (e)(1)(ix), and (e)(1)(x) of 52.212-5, Contract Terms and Conditions Required To Implement Statutes or Executive Orders&mdash;Commercial Products and Commercial Services. Additionally, per this deviation, in paragraph (b)(46), E.O. 14057 does not apply;

&middot; Paragraphs (e)(1)(ii)(I) and (e)(1)(ii)(J) of Alternate II of 52.212-5, Contract Terms and Conditions Required To Implement Statutes or Executive Orders&mdash;Commercial Products and Commercial Services

&middot; Paragraphs (a)(1)(vii) and (a)(1)(viii) of 52.213-4, Terms and Conditions&mdash;Simplified Acquisitions (Other Than Commercial Products and Commercial Services). Additionally, per this deviation, in paragraph (b)(1)(xvii), E.O. 14057 does not apply.

Entities are not required to update their entity registration to remove these representations in SAM.










",Aviation Logistics Center,2025-08-12 15:07:49.779000+00:00,2025-08-12,2025-09-10 18:00:00+00:00,2025-09-10,America/New_York,Special Notice,,336413,Other Aircraft Parts and Auxiliary Equipment Manufacturing ,1560,Airframe Structural Components,,Cindy Harmes,Cindy.K.Harmes@uscg.mil,,,,MRR Procurement Mailbox,mrr-procurement@uscg.mil,,,,,,,,,,,,,,,,,,,,7008,70Z038,AVIATION LOGISTICS CENTER (ALC)(000,77795ab818364295913909bd2b302c12,julie.g.lininger@uscg.mil,julie.g.lininger@uscg.mil,2025-08-12 15:07:49.786000+00:00,2025-08-12 14:59:48.131000+00:00,https://www.highergov.com/contract-opportunity/70Z03825QJ0000413-Special_Notice-02c12,https://sam.gov/opp/77795ab818364295913909bd2b302c12/view
4232cc4c10dd421396cbe80fcd7db0e7,70Z03825QB0000133,MH-65 OIL PRESSURE SWITCH,"*Amendment 1 is to extend the Date Offers Due to Friday, August 29, 2025, at 9am EDT.*

This is a combined synopsis/solicitation for commercial items prepared in accordance with the format in FAR subpart 12.6 and part 13, as supplemented with additional information included in this notice. This announcement constitutes the only solicitation; quotations are being requested and a written solicitation will not be issued. Solicitation number 70Z03825QB0000133 is issued as a request for quotation (RFQ). This solicitation document and incorporated provisions and clauses are those in effect through Federal Acquisition Circular (FAC) 2025-05 Effective August 07, 2025.

The applicable North American Industry Classification Standard Code is 336413. The small business size standard is 1,250 employees. This is a restricted requirement. All responsible sources may submit a quotation which shall be considered by the agency.

It is anticipated that a firm-fixed price purchase order shall be awarded on a Sole Source basis to Spectrum Associates, INC. as a result of this synopsis/solicitation. All parts must have clear traceability to the Original Equipment Manufacturer (OEM), Spectrum Associates, INC (Cage Code: 55723). Traceability means a clear, complete, documented, and auditable paper trail which traces each step from an OEM approved source.

See attached documents titled:

&ldquo;Requirements &ndash; 70Z03825QB0000133,&rdquo;

&ldquo;Terms and Conditions &ndash; 70Z03825QB0000133&rdquo; and

&ldquo;Redacted J and A &ndash; 70Z03825QB0000133&rdquo;.

52.217-6 Option for Increased Quantity (MAR 1989) applies to this acquisition and is tailored as follows:

The Government may increase the quantity of supplies called for in the Schedule, for Line Item 1 by up to a quantity of Twenty Four (24), at the unit price specified, up to a maximum quantity of Thirty Six (36). The Contracting Officer may exercise the option by written notice to the Contractor within one calendar year after Purchase Order award. Delivery of the added items shall continue at the same rate as the like items call for under the Purchase Order, unless the parties otherwise agree.

***Please note that if the USCG chooses to exercise any optional quantity modification, such modifications will be issued unilaterally to the contractor.

(End of Clause)

It is the Government&#39;s belief that Spectrum Associates, INC. is the only known source to provide traceability and genuine OEM parts. Concerns having the expertise and required capabilities to provide these items are invited to submit offers in accordance with the requirements stipulated in this solicitation.

Parts must be approved in accordance with Federal Aviation Administration (FAA) guidelines to ensure safety of our aircrew. Best value to the Government is always the goal, but without jeopardizing quality or safety of flight. Only the use of airworthy commercial specifications or standard military specifications/military standard parts will be utilized and approved from this solicitation

Newly manufactured commercial items will only be procured from sources able to provide a Certificate of Conformance (COC). The Federal Aviation Regulation, Part 21, and Federal Acquisition Regulation (FAR) clause 52.246-15 outline these certification procedures.

NO SUBSTITUTE OR ALTERNATE PARTS WILL BE CONSIDERED. ONLY NEW PARTS WILL BE ACCEPTED.

NOTE: NO DRAWINGS, SPECIFICATIONS OR SCHEMATICS ARE AVAILABLE FROM THIS AGENCY.

Closing date and time for receipt of offers is 29 August 2025 at 9:00 am EDT. Quotes and questions shall be submitted by email to Selmary.MelendezGonzalez3@uscg.mil. Please indicate solicitation 70Z03825QB0000133 in the subject line. Phone call quotes WILL NOT be accepted.
",Aviation Logistics Center,2025-08-12 12:59:25.180000+00:00,2025-08-12,2025-08-29 13:00:00+00:00,2025-08-29,America/New_York,Synopsis Solicitation,8AN,336413,Other Aircraft Parts and Auxiliary Equipment Manufacturing ,5930,Switches,,Selmary Melendez,Selmary.MelendezGonzalez3@uscg.mil,,,,Raymond V. Marler,raymond.v.marler@uscg.mil,,,,,,,,,,,,,,,,,,,,7008,70Z038,AVIATION LOGISTICS CENTER (ALC)(000,0dfb6a54f6ab4678b970043ba988cc88,terrie.l.pickard@uscg.mil,selmary.melendezgonzalez3@uscg.mil,2025-08-12 12:59:25.186000+00:00,2025-08-12 12:48:26.471000+00:00,https://www.highergov.com/contract-opportunity/70Z03825QB0000133-Combined_Synopsis_Solicitation-8cc88,https://sam.gov/opp/4232cc4c10dd421396cbe80fcd7db0e7/view
5cff56d6af494a36a0bf2ab3e7fcef67,SPRRA225R0055,Air Defense Interrogator Hardware Upgrade- Sole Source to Raytheon Collins Aerospace,"Please see attachment &quot;Raytheon Collins Aerospace RFP ADI PH II (SPRRA225R0055)&quot; for description.

Please request Statement of Work (SOW) for details. Must be Joint Certification Program (JCP) certified to be eligible to receive the SOW.

AMD 0001 has been completed on May 6, 2025 to extend the proposal due date to July 15, 2025.
",DLA Aviation,2025-08-12 12:26:02.127000+00:00,2025-08-12,2025-09-15 21:00:00+00:00,2025-09-15,America/Chicago,Solicitation,,334511,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing ",5841,"Radar Equipment, Airborne",,Lauren Tatum,lauren.tatum@dla.mil,,,,Anna Phillips,anna.phillips@dla.mil,,,,,Aberdeen Proving Ground,MD,21005,USA,UNITED STATES,ba6722954c3748e082dc470f35ccb82f,,,,,,,,,,97AS,SPRRA2,"DLA AVIATION AT HUNTSVILLE, AL",54ec52f226e94686ba78f69d4dcbd6ba,anna.phillips@dla.mil,anna.phillips@dla.mil,2025-08-12 12:26:02.127000+00:00,2025-08-12 12:26:02.127000+00:00,https://www.highergov.com/contract-opportunity/SPRRA225R0055-Solicitation-bd6ba,https://sam.gov/opp/5cff56d6af494a36a0bf2ab3e7fcef67/view
8ed69062b9be4df9a7190ffcc360230f,,NOI MANTIS ELP,"Tha Naval Supply (NAVSUP) Systems Command, Fleet Logistics Center Jacksonville (FLCJ), FL intends to issue a sole source award utilizing simplified acquisition procedures to Curtiss-Wright Fleet Solutions for repair and refurbishment of a shipboard helicopter mantis handler-extra low profile (SHH/ELP, A/S32A-47).

The applicable North American Industrial Classification System Code (NAICS) code is 488190 with a size standard of $40.0 mil. This notice of intent is for informational purposes only. This notice does not constitute a request for proposals, request for quote or an invitation to bid. All sources eligible to provide the requirement must respond in writing. Responses must be supported with clear and convincing evidence to clearly acticulate the ability to provide the requirement as outlined above. A request for documentation will not be considered as an affimative response. If no responses are received to this notice, to the effect that comparable items are not available, and that this is more advantageous to the Government than obtaining this product through a sole source contract, then a sole source acquisition award will be made. 
",Department of the Navy,2025-08-12 11:20:52.910000+00:00,2025-08-12,2025-08-14 14:00:00+00:00,2025-08-14,America/New_York,Special Notice,,488190,Other Support Activities for Air Transportation,2090,Miscellaneous Ship and Marine Equipment,,Jessica Harrison,jessica.l.harrison18.civ@us.navy.mil,,,,Chelsea McNeely,chelsea.n.mcneely.civ@us.navy.mil,,,,,Jacksonville,FL,,USA,UNITED STATES,,,,,,,,,,,1700,NAVSUP FLC JAX,NAVSUP FLC JACKSONVILLE,8ed69062b9be4df9a7190ffcc360230f,jessica.l.harrison18.civ@us.navy.mil,jessica.l.harrison18.civ@us.navy.mil,2025-08-12 11:20:52.915000+00:00,2025-08-12 11:05:36.485000+00:00,https://www.highergov.com/contract-opportunity/NOI-MANTIS-ELP-Special_Notice-0230f,https://sam.gov/opp/8ed69062b9be4df9a7190ffcc360230f/view
836efbf1c4c5457cb6a796bf47fc1710,D-26-SG-0013,"Hangar, Office and Parking Rental","Hangar, Office and Parking Rental - The DEA intends to award a firm-fixed price sole source purchase order to Aurora Business Park, LLC, PO Box 879, Pacific City, OR 97135 for the purpose of Hangar (3,540 SF), Office (240 SF) and Parking (2 Spaces) Rental services.

This acquisition is being pursued on a sole source basis in accordance with statutory authority 41 U.S.C. 3304(a)(1) as implemented by FAR 6.302-1, other than full and open competition is authorized when there is only one responsible source and no other supplies and services will satisfy agency requirements.

Aurora Business Park, LLC is the only known source at this location that can provide all of the required capabilities necessary to provide the DEA with secure hangar space and quick access to the facility and runway on a 24-hour per-day basis.

The NAICS code for this acquisition is 488190 standard size $25,000,000.00.

A determination by the Government not to open the requirement to competition based on the response to this notice is solely within the discretion of the Government. Information received will be considered solely for the purpose of determining whether to conduct a competitive procurement. This notice is NOT a request for proposal. However, all capability statements received by August 15, 2025, at 10:00 AM EST will be considered by the Government. Any source capable of providing the Hangar, Office and Parking Rental services and is interested in submitting a capabilities statement may do so electronically to Mr. Robert Radke at robert.j.radke@dea.gov.
",Drug Enforcement Administration,2025-08-12 10:26:22.902000+00:00,2025-08-12,2025-08-15 14:00:00+00:00,2025-08-15,America/New_York,Special Notice,,488190,Other Support Activities for Air Transportation,X1BZ,Lease/Rental Of Other Airfield Structures,,Robert Radke,robert.j.radke@dea.gov,,,,,,,,,,Pacific City,OR,97135,USA,UNITED STATES,,,,,,,,,,,1524,,DRUG ENFORCEMENT ADMINISTRATION,836efbf1c4c5457cb6a796bf47fc1710,robert.j.radke@usdoj.gov,robert.j.radke@usdoj.gov,2025-08-12 10:26:22.907000+00:00,2025-08-11 13:38:47.103000+00:00,https://www.highergov.com/contract-opportunity/D-26-SG-0013-Special_Notice-c1710,https://sam.gov/opp/836efbf1c4c5457cb6a796bf47fc1710/view
